REG,DATE,ARRS,DEPS,HEAVY,MED,LIGHT,ARRS_DOM,DEPS_DOM,OVR_FLTS
BRA,2019-01-01,2106,2157,153,2147,8,1965,1965,12
BRA,2019-01-02,2717,2736,242,2706,17,2504,2504,18
BRA,2019-01-03,2771,2763,230,2760,10,2547,2547,15
BRA,2019-01-04,2757,2757,244,2738,20,2532,2532,22
BRA,2019-01-05,2404,2422,246,2437,1,2167,2167,27
BRA,2019-01-06,2487,2471,249,2490,0,2246,2246,29
BRA,2019-01-07,2821,2822,241,2800,19,2604,2604,23
BRA,2019-01-08,2755,2755,238,2737,11,2538,2538,16
BRA,2019-01-09,2745,2757,256,2740,9,2526,2526,31
BRA,2019-01-10,2763,2758,241,2741,15,2540,2540,18
BRA,2019-01-11,2778,2779,250,2750,21,2559,2559,25
BRA,2019-01-12,2363,2372,239,2398,0,2121,2121,25
BRA,2019-01-13,2470,2468,256,2478,0,2228,2228,26
BRA,2019-01-14,2770,2763,227,2754,22,2555,2555,27
BRA,2019-01-15,2770,2765,245,2747,11,2547,2547,17
BRA,2019-01-16,2744,2755,263,2723,16,2528,2528,33
BRA,2019-01-17,2782,2777,246,2754,13,2566,2566,22
BRA,2019-01-18,2763,2774,253,2748,17,2544,2544,27
BRA,2019-01-19,2379,2383,244,2409,0,2132,2132,25
BRA,2019-01-20,2442,2435,236,2459,0,2207,2207,27
BRA,2019-01-21,2773,2765,230,2751,23,2556,2556,24
BRA,2019-01-22,2751,2748,250,2722,13,2530,2530,18
BRA,2019-01-23,2723,2728,259,2702,16,2502,2502,30
BRA,2019-01-24,2732,2717,243,2705,15,2506,2506,22
BRA,2019-01-25,2705,2705,253,2667,24,2487,2487,23
BRA,2019-01-26,2334,2356,248,2372,0,2094,2094,26
BRA,2019-01-27,2437,2437,245,2454,0,2202,2202,29
BRA,2019-01-28,2760,2743,223,2741,21,2541,2541,25
BRA,2019-01-29,2718,2717,250,2686,14,2499,2499,16
BRA,2019-01-30,2695,2706,257,2685,15,2480,2480,38
BRA,2019-01-31,2760,2760,245,2742,16,2533,2533,18
BRA,2019-02-01,2723,2714,241,2698,20,2500,2500,24
BRA,2019-02-02,2260,2276,259,2283,0,2019,2019,27
BRA,2019-02-03,2357,2349,241,2370,0,2124,2124,31
BRA,2019-02-04,2693,2680,224,2668,17,2481,2481,19
BRA,2019-02-05,2634,2636,242,2608,13,2422,2422,17
BRA,2019-02-06,2612,2619,271,2581,11,2397,2397,31
BRA,2019-02-07,2654,2645,233,2635,12,2436,2436,19
BRA,2019-02-08,2700,2715,251,2665,26,2491,2491,20
BRA,2019-02-09,2136,2140,236,2155,0,1905,1905,22
BRA,2019-02-10,2261,2254,233,2275,0,2032,2032,27
BRA,2019-02-11,2670,2667,231,2640,23,2458,2458,17
BRA,2019-02-12,2626,2626,242,2605,10,2418,2418,25
BRA,2019-02-13,2616,2625,257,2594,17,2406,2406,35
BRA,2019-02-14,2652,2652,226,2642,13,2439,2439,18
BRA,2019-02-15,2659,2650,238,2622,22,2445,2445,20
BRA,2019-02-16,2151,2168,253,2171,0,1925,1925,32
BRA,2019-02-17,2234,2232,237,2240,0,2013,2013,26
BRA,2019-02-18,2631,2619,221,2604,16,2428,2428,21
BRA,2019-02-19,2596,2600,232,2573,10,2399,2399,20
BRA,2019-02-20,2593,2602,260,2562,15,2387,2387,31
BRA,2019-02-21,2646,2636,240,2620,18,2427,2427,25
BRA,2019-02-22,2621,2628,241,2589,23,2418,2418,24
BRA,2019-02-23,2131,2143,245,2150,0,1906,1906,29
BRA,2019-02-24,2251,2246,235,2258,0,2034,2034,31
BRA,2019-02-25,2584,2570,214,2560,17,2386,2386,25
BRA,2019-02-26,2600,2602,245,2571,12,2392,2392,21
BRA,2019-02-27,2612,2624,263,2586,15,2407,2407,37
BRA,2019-02-28,2673,2664,236,2650,16,2451,2451,18
BRA,2019-03-01,2750,2759,242,2721,20,2545,2545,21
BRA,2019-03-02,2187,2192,233,2206,0,1962,1962,24
BRA,2019-03-03,1515,1508,250,1506,0,1292,1292,28
BRA,2019-03-04,1658,1658,206,1658,8,1463,1463,21
BRA,2019-03-05,2102,2105,229,2089,8,1898,1898,19
BRA,2019-03-06,2616,2619,232,2600,15,2415,2415,29
BRA,2019-03-07,2433,2432,233,2411,14,2222,2222,17
BRA,2019-03-08,2439,2433,241,2411,18,2225,2225,25
BRA,2019-03-09,2081,2094,233,2101,0,1864,1864,25
BRA,2019-03-10,2309,2305,239,2315,0,2089,2089,31
BRA,2019-03-11,2649,2646,212,2636,15,2447,2447,17
BRA,2019-03-12,2568,2553,223,2534,12,2372,2372,22
BRA,2019-03-13,2566,2584,238,2537,19,2383,2383,29
BRA,2019-03-14,2561,2551,224,2521,16,2366,2366,17
BRA,2019-03-15,2662,2671,230,2635,28,2468,2468,30
BRA,2019-03-16,2090,2100,225,2112,0,1884,1884,33
BRA,2019-03-17,2240,2229,219,2242,0,2035,2035,29
BRA,2019-03-18,2602,2594,206,2575,29,2411,2411,27
BRA,2019-03-19,2543,2532,214,2508,16,2357,2357,22
BRA,2019-03-20,2556,2572,229,2527,25,2380,2380,35
BRA,2019-03-21,2597,2593,213,2569,19,2405,2405,18
BRA,2019-03-22,2612,2608,228,2584,18,2419,2419,31
BRA,2019-03-23,2074,2084,218,2093,0,1873,1873,28
BRA,2019-03-24,2244,2241,213,2250,0,2045,2045,25
BRA,2019-03-25,2634,2636,205,2616,28,2448,2448,29
BRA,2019-03-26,2534,2532,213,2514,16,2346,2346,25
BRA,2019-03-27,2556,2556,222,2515,27,2373,2373,27
BRA,2019-03-28,2569,2570,209,2547,19,2383,2383,21
BRA,2019-03-29,2610,2616,231,2554,31,2436,2436,28
BRA,2019-03-30,2068,2085,207,2092,0,1877,1877,25
BRA,2019-03-31,2229,2211,215,2239,0,2018,2018,34
BRA,2019-04-01,2551,2544,211,2515,28,2363,2363,24
BRA,2019-04-02,2437,2435,210,2406,16,2261,2261,23
BRA,2019-04-03,2467,2473,215,2416,31,2301,2301,25
BRA,2019-04-04,2534,2530,224,2481,23,2355,2355,22
BRA,2019-04-05,2599,2601,221,2549,34,2421,2421,27
BRA,2019-04-06,1965,1981,211,1979,0,1785,1785,31
BRA,2019-04-07,2159,2158,221,2157,0,1967,1967,30
BRA,2019-04-08,2550,2549,202,2516,28,2375,2375,24
BRA,2019-04-09,2399,2392,212,2369,12,2219,2219,23
BRA,2019-04-10,2491,2497,212,2457,18,2330,2330,31
BRA,2019-04-11,2524,2521,213,2490,14,2346,2346,21
BRA,2019-04-12,2582,2583,218,2553,21,2400,2400,29
BRA,2019-04-13,1975,1990,210,1994,1,1790,1790,32
BRA,2019-04-14,2158,2147,208,2167,1,1955,1955,28
BRA,2019-04-15,2503,2492,201,2469,25,2325,2325,27
BRA,2019-04-16,2422,2416,205,2394,13,2246,2246,21
BRA,2019-04-17,2460,2474,212,2420,25,2302,2302,26
BRA,2019-04-18,2551,2542,220,2506,13,2371,2371,19
BRA,2019-04-19,1897,1910,212,1886,11,1727,1727,30
BRA,2019-04-20,1397,1411,201,1415,1,1216,1216,26
BRA,2019-04-21,2194,2181,217,2200,1,1983,1983,27
BRA,2019-04-22,2569,2562,217,2527,23,2385,2385,22
BRA,2019-04-23,2444,2444,218,2416,14,2265,2265,26
BRA,2019-04-24,2328,2334,205,2286,24,2168,2168,22
BRA,2019-04-25,2352,2338,215,2311,13,2171,2171,22
BRA,2019-04-26,2438,2450,203,2417,24,2268,2268,25
BRA,2019-04-27,1829,1837,214,1832,1,1650,1650,32
BRA,2019-04-28,1948,1928,215,1938,1,1752,1752,31
BRA,2019-04-29,2338,2339,220,2292,26,2164,2164,26
BRA,2019-04-30,2229,2227,201,2176,7,2084,2084,13
BRA,2019-05-01,1714,1724,216,1682,17,1550,1550,28
BRA,2019-05-02,2154,2153,214,2114,12,1984,1984,19
BRA,2019-05-03,2304,2308,214,2265,23,2133,2133,24
BRA,2019-05-04,1724,1733,203,1727,0,1552,1552,26
BRA,2019-05-05,2015,2008,228,2003,0,1822,1822,31
BRA,2019-05-06,2323,2311,211,2282,22,2142,2142,24
BRA,2019-05-07,2225,2221,203,2195,14,2052,2052,19
BRA,2019-05-08,2245,2253,210,2202,23,2084,2084,22
