ICAO,MOF,PHASE,CAP,PK_THRU,CAP70,SHARE_TIME_ABOVE,SHARE_DIFF,MVT_DIFF
SBBR,2019-01,TOT,14.25,16,9.975,0.21302250803858522,0.12280701754385964,1.75
SBBR,2019-02,TOT,14.25,15,9.975,0.21883530482256597,0.05263157894736842,0.75
SBBR,2019-03,TOT,14.25,9,9.975,0.039495114006514655,-0.3684210526315789,-5.25
SBBR,2019-04,TOT,14.25,9,9.975,0.034585824081981215,-0.3684210526315789,-5.25
SBBR,2019-05,TOT,14.25,9,9.975,0.02809446254071661,-0.3684210526315789,-5.25
SBBR,2019-06,TOT,14.25,9,9.975,0.029754204398447608,-0.3684210526315789,-5.25
SBBR,2019-07,TOT,14.25,9,9.975,0.02910882221227049,-0.3684210526315789,-5.25
SBBR,2019-08,TOT,14.25,9,9.975,0.04539722572509458,-0.3684210526315789,-5.25
SBBR,2019-09,TOT,14.25,10,9.975,0.057684029272492464,-0.2982456140350877,-4.25
SBBR,2019-10,TOT,14.25,10,9.975,0.06498344370860927,-0.2982456140350877,-4.25
SBBR,2019-11,TOT,14.25,10,9.975,0.06590136054421769,-0.2982456140350877,-4.25
SBBR,2019-12,TOT,14.25,10,9.975,0.05977382875605816,-0.2982456140350877,-4.25
SBBR,2020-01,TOT,14.5,10,10.149999999999999,0.045234248788368334,-0.3103448275862069,-4.5
SBBR,2020-02,TOT,14.5,10,10.149999999999999,0.0387736699729486,-0.3103448275862069,-4.5
SBBR,2020-03,TOT,14.5,9,10.149999999999999,0.030364372469635626,-0.3793103448275862,-5.5
SBBR,2020-04,TOT,14.5,3,10.149999999999999,0,-0.7931034482758621,-11.5
SBBR,2020-05,TOT,14.5,2,10.149999999999999,0,-0.8620689655172413,-12.5
SBBR,2020-06,TOT,14.5,2,10.149999999999999,0,-0.8620689655172413,-12.5
SBBR,2020-07,TOT,14.5,5,10.149999999999999,0,-0.6551724137931034,-9.5
SBBR,2020-08,TOT,14.5,7,10.149999999999999,0,-0.5172413793103449,-7.5
SBBR,2020-09,TOT,14.5,10,10.149999999999999,0.027628032345013476,-0.3103448275862069,-4.5
SBBR,2020-10,TOT,14.5,10,10.149999999999999,0.03966480446927374,-0.3103448275862069,-4.5
SBBR,2020-11,TOT,14.5,10,10.149999999999999,0.031995661605206074,-0.3103448275862069,-4.5
SBBR,2020-12,TOT,14.5,10,10.149999999999999,0.041626331074540175,-0.3103448275862069,-4.5
SBBR,2021-01,TOT,15,11,10.5,0.0548011639185257,-0.26666666666666666,-4
SBBR,2021-02,TOT,15,9,10.5,0.01735106998264893,-0.4,-6
SBBR,2021-03,TOT,15,9,10.5,0.020121951219512196,-0.4,-6
SBBR,2021-04,TOT,15,6,10.5,0.002073255010366275,-0.6,-9
SBBR,2021-05,TOT,15,8,10.5,0.002430133657351154,-0.4666666666666667,-7
SBBR,2021-06,TOT,15,9,10.5,0.007307476110174255,-0.4,-6
SBBR,2021-07,TOT,15,9,10.5,0.02720763723150358,-0.4,-6
SBBR,2021-08,TOT,15,10,10.5,0.03425309229305423,-0.3333333333333333,-5
SBBR,2021-09,TOT,15,10,10.5,0.044838860345632885,-0.3333333333333333,-5
SBBR,2021-10,TOT,15,10,10.5,0.040203327171903884,-0.3333333333333333,-5
SBBR,2021-11,TOT,15,10,10.5,0.03243490178163545,-0.3333333333333333,-5
SBBR,2021-12,TOT,15,10,10.5,0.03333333333333333,-0.3333333333333333,-5
SBBR,2022-01,TOT,15,10,10.5,0.03739130434782609,-0.3333333333333333,-5
SBBR,2022-02,TOT,15,9,10.5,0.02266872746007213,-0.4,-6
SBBR,2022-03,TOT,15,9,10.5,0.024200913242009132,-0.4,-6
SBBR,2022-04,TOT,15,9,10.5,0.012304779933743492,-0.4,-6
SBBR,2022-05,TOT,15,9,10.5,0.010801080108010801,-0.4,-6
SBBR,2022-06,TOT,15,9,10.5,0.007532956685499058,-0.4,-6
SBBR,2022-07,TOT,15,9,10.5,0.017781541066892465,-0.4,-6
SBBR,2022-08,TOT,15,9,10.5,0.02327586206896552,-0.4,-6
SBBR,2022-09,TOT,15,9,10.5,0.01859229747675963,-0.4,-6
SBBR,2022-10,TOT,15,9,10.5,0.019700214132762312,-0.4,-6
SBBR,2022-11,TOT,15,9,10.5,0.01838392475416845,-0.4,-6
SBBR,2022-12,TOT,15,10,10.5,0.027261462205700124,-0.3333333333333333,-5
SBCF,2019-01,TOT,14.25,11,9.975,0.10281923714759536,-0.22807017543859648,-3.25
SBCF,2019-02,TOT,14.25,11,9.975,0.09015639374425023,-0.22807017543859648,-3.25
SBCF,2019-03,TOT,14.25,7,9.975,0,-0.5087719298245614,-7.25
SBCF,2019-04,TOT,14.25,7,9.975,4.4169611307420494e-4,-0.5087719298245614,-7.25
SBCF,2019-05,TOT,14.25,6,9.975,0,-0.5789473684210527,-8.25
SBCF,2019-06,TOT,14.25,7,9.975,0,-0.5087719298245614,-7.25
SBCF,2019-07,TOT,14.25,6,9.975,0,-0.5789473684210527,-8.25
SBCF,2019-08,TOT,14.25,7,9.975,0,-0.5087719298245614,-7.25
SBCF,2019-09,TOT,14.25,7,9.975,0,-0.5087719298245614,-7.25
SBCF,2019-10,TOT,14.25,7,9.975,0,-0.5087719298245614,-7.25
SBCF,2019-11,TOT,14.25,7,9.975,0.0012908777969018934,-0.5087719298245614,-7.25
SBCF,2019-12,TOT,14.25,6,9.975,0,-0.5789473684210527,-8.25
SBCF,2020-01,TOT,14.5,7,10.149999999999999,0,-0.5172413793103449,-7.5
SBCF,2020-02,TOT,14.5,7,10.149999999999999,0,-0.5172413793103449,-7.5
SBCF,2020-03,TOT,14.5,6,10.149999999999999,5.235602094240838e-4,-0.5862068965517241,-8.5
SBCF,2020-04,TOT,14.5,3,10.149999999999999,0,-0.7931034482758621,-11.5
SBCF,2020-05,TOT,14.5,2,10.149999999999999,0,-0.8620689655172413,-12.5
SBCF,2020-06,TOT,14.5,3,10.149999999999999,0,-0.7931034482758621,-11.5
SBCF,2020-07,TOT,14.5,3,10.149999999999999,0,-0.7931034482758621,-11.5
SBCF,2020-08,TOT,14.5,3,10.149999999999999,0,-0.7931034482758621,-11.5
SBCF,2020-09,TOT,14.5,4,10.149999999999999,0,-0.7241379310344828,-10.5
SBCF,2020-10,TOT,14.5,5,10.149999999999999,0,-0.6551724137931034,-9.5
SBCF,2020-11,TOT,14.5,5,10.149999999999999,0,-0.6551724137931034,-9.5
SBCF,2020-12,TOT,14.5,5,10.149999999999999,0,-0.6551724137931034,-9.5
SBCF,2021-01,TOT,15,6,10.5,0,-0.6,-9
SBCF,2021-02,TOT,15,5,10.5,0,-0.6666666666666666,-10
SBCF,2021-03,TOT,15,5,10.5,0,-0.6666666666666666,-10
SBCF,2021-04,TOT,15,4,10.5,0,-0.7333333333333333,-11
SBCF,2021-05,TOT,15,5,10.5,0,-0.6666666666666666,-10
SBCF,2021-06,TOT,15,5,10.5,0,-0.6666666666666666,-10
SBCF,2021-07,TOT,15,5,10.5,0,-0.6666666666666666,-10
SBCF,2021-08,TOT,15,5,10.5,0,-0.6666666666666666,-10
SBCF,2021-09,TOT,15,6,10.5,0,-0.6,-9
SBCF,2021-10,TOT,15,6,10.5,0,-0.6,-9
SBCF,2021-11,TOT,15,6,10.5,0,-0.6,-9
SBCF,2021-12,TOT,15,6,10.5,0,-0.6,-9
SBCF,2022-01,TOT,15,6,10.5,0,-0.6,-9
SBCF,2022-02,TOT,15,6,10.5,0,-0.6,-9
SBCF,2022-03,TOT,15,6,10.5,0,-0.6,-9
SBCF,2022-04,TOT,15,6,10.5,0,-0.6,-9
SBCF,2022-05,TOT,15,6,10.5,0,-0.6,-9
SBCF,2022-06,TOT,15,6,10.5,0,-0.6,-9
SBCF,2022-07,TOT,15,7,10.5,0,-0.5333333333333333,-8
