APT,DATE,PHASE,N_VALID,"(-INF,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-15]","(-15,-10]","(-10,-5]","(-5,0]","(0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,INF)",EARLY_M15M05,EARLY_M05M00,LATE_P00P05,LATE_P05P15,WITHIN_M05P05,WITHIN_M15P15
SBBR,2019-01,ARR,5477,2,0,2,2,7,30,63,221,499,791,829,813,642,406,286,217,143,112,76,55,43,35,32,18,24,129,1642,642,406,503,1048,3193
SBBR,2019-02,ARR,4829,2,0,1,3,4,17,48,166,385,599,749,721,532,386,297,207,169,131,79,62,57,29,27,26,22,110,1470,532,386,504,918,2892
SBBR,2019-03,ARR,5137,3,1,0,0,2,21,80,234,497,820,890,756,503,343,239,160,114,94,60,46,36,25,26,29,17,141,1646,503,343,399,846,2891
SBBR,2019-04,ARR,4766,2,1,0,1,3,20,73,186,438,764,861,699,497,337,241,141,98,78,53,42,48,21,20,20,13,109,1560,497,337,382,834,2776
SBBR,2019-05,ARR,4787,0,0,0,0,2,18,86,244,557,852,905,708,508,308,175,117,75,57,27,24,21,11,17,10,8,57,1613,508,308,292,816,2721
SBBR,2019-06,ARR,4397,1,0,1,1,5,21,98,241,489,762,879,633,423,257,177,107,69,61,37,27,22,13,12,4,3,54,1512,423,257,284,680,2476
SBBR,2019-07,ARR,5240,5,0,0,0,5,24,62,195,495,845,967,817,551,404,249,176,110,69,54,50,23,24,21,13,9,72,1784,551,404,425,955,3164
SBBR,2019-08,ARR,4803,3,0,0,2,7,19,53,164,397,674,830,830,592,429,218,162,103,78,58,42,26,25,14,12,9,56,1660,592,429,380,1021,3061
SBBR,2019-09,ARR,4869,1,0,2,5,12,27,61,149,430,704,867,838,567,359,229,152,109,94,73,33,29,22,14,10,12,70,1705,567,359,381,926,3012
SBBR,2019-10,ARR,5194,1,1,3,7,14,13,41,122,371,723,942,891,643,445,283,182,143,86,65,55,21,26,15,12,10,79,1833,643,445,465,1088,3386
SBBR,2019-11,ARR,5195,1,2,5,9,9,21,33,96,248,534,781,843,703,502,344,264,165,135,95,82,56,39,25,13,26,164,1624,703,502,608,1205,3437
SBBR,2019-12,ARR,5305,2,1,3,4,3,17,41,123,272,516,736,783,677,514,348,264,211,160,105,81,83,56,49,39,34,183,1519,677,514,612,1191,3322
SBBR,2020-01,ARR,5524,3,1,7,2,8,20,41,108,359,645,768,823,748,559,438,262,198,116,95,57,44,22,25,14,18,143,1591,748,559,700,1307,3598
SBBR,2020-02,ARR,4789,5,4,2,9,6,25,39,123,339,609,786,754,609,430,271,193,132,107,71,39,35,21,25,19,17,119,1540,609,430,464,1039,3043
SBBR,2020-03,ARR,3739,1,0,8,4,13,15,38,149,325,597,677,659,470,253,139,102,66,42,39,13,17,10,9,9,5,79,1336,470,253,241,723,2300
SBBR,2020-04,ARR,286,5,0,0,0,0,5,15,32,42,39,42,25,23,14,9,4,6,1,5,0,5,2,1,3,2,6,67,23,14,13,37,117
SBBR,2020-05,ARR,340,1,0,0,1,2,1,9,14,33,39,55,45,37,26,17,18,11,8,10,3,2,1,0,0,1,6,100,37,26,35,63,198
SBBR,2020-06,ARR,589,0,0,0,0,0,0,6,29,70,74,98,91,83,47,32,15,12,1,2,11,1,1,0,3,0,13,189,83,47,47,130,366
SBBR,2020-07,ARR,1255,1,0,0,1,0,9,32,91,198,245,224,196,108,47,30,22,13,5,6,3,4,1,1,5,2,11,420,108,47,52,155,627
SBBR,2020-08,ARR,1831,0,0,0,1,1,3,18,79,198,346,388,312,207,111,53,29,17,15,14,7,2,6,2,3,0,19,700,207,111,82,318,1100
SBBR,2020-09,ARR,2498,0,0,0,0,0,5,20,73,234,467,570,472,309,152,71,38,19,14,9,10,7,2,8,2,2,14,1042,309,152,109,461,1612
SBBR,2020-10,ARR,3135,1,0,0,1,3,7,26,114,287,513,681,569,373,217,115,68,36,27,18,14,12,9,4,2,2,36,1250,373,217,183,590,2023
SBBR,2020-11,ARR,3090,1,0,0,0,0,7,30,95,263,396,516,509,408,269,189,115,71,63,34,29,22,14,8,11,4,36,1025,408,269,304,677,2006
SBBR,2020-12,ARR,3708,0,0,1,1,4,19,51,151,388,609,699,594,417,239,169,93,54,58,35,27,16,16,12,9,5,41,1293,417,239,262,656,2211
SBBR,2021-01,ARR,3693,3,0,0,1,2,11,63,220,443,683,686,561,361,211,131,86,60,49,29,23,16,8,6,8,5,27,1247,361,211,217,572,2036
SBBR,2021-02,ARR,2778,1,0,0,0,2,15,56,144,341,515,583,410,260,154,77,62,40,22,16,14,15,11,9,2,3,26,993,260,154,139,414,1546
SBBR,2021-03,ARR,2400,0,0,0,0,2,10,54,138,340,532,512,351,225,90,48,21,16,10,16,6,4,3,0,3,3,16,863,225,90,69,315,1247
SBBR,2021-04,ARR,1688,1,0,2,3,7,12,33,109,222,362,388,251,131,58,34,19,17,8,7,3,1,2,6,0,2,10,639,131,58,53,189,881
SBBR,2021-05,ARR,2336,0,2,2,7,2,13,44,118,251,447,489,407,276,116,59,27,19,11,10,4,1,2,2,7,0,20,896,276,116,86,392,1374
SBBR,2021-06,ARR,2688,0,0,2,1,2,5,13,104,250,471,590,535,326,171,78,47,24,8,14,5,3,4,2,3,3,27,1125,326,171,125,497,1747
SBBR,2021-07,ARR,3497,1,0,0,1,3,13,41,143,368,614,761,589,404,213,121,68,36,28,16,15,9,10,4,7,4,28,1350,404,213,189,617,2156
