ICAO,MOF,PHASE,CAP,PK_THRU,CAP70,SHARE_TIME_ABOVE,SHARE_DIFF,MVT_DIFF
EDDF,2019-01,TOT,26,24,18.2,0.44906997342781224,-0.07692307692307693,-2
EDDF,2019-02,TOT,26,26,18.2,0.5575787401574803,0,0
EDDF,2019-03,TOT,26,26,18.2,0.5993829881004848,0,0
EDDF,2019-04,TOT,26,28,18.2,0.703956343792633,0.07692307692307693,2
EDDF,2019-05,TOT,26,28,18.2,0.7147856517935258,0.07692307692307693,2
EDDF,2019-06,TOT,26,29,18.2,0.7376902417188899,0.11538461538461539,3
EDDF,2019-07,TOT,26,28,18.2,0.7348978704910908,0.07692307692307693,2
EDDF,2019-08,TOT,26,28,18.2,0.7140366172624237,0.07692307692307693,2
EDDF,2019-09,TOT,26,29,18.2,0.7680831826401446,0.11538461538461539,3
EDDF,2019-10,TOT,26,28,18.2,0.7172383465259454,0.07692307692307693,2
EDDF,2019-11,TOT,26,26,18.2,0.5130077590141487,0,0
EDDF,2019-12,TOT,26,25,18.2,0.3991130820399113,-0.038461538461538464,-1
EDDF,2020-01,TOT,26,24,18.2,0.37433155080213903,-0.07692307692307693,-2
EDDF,2020-02,TOT,26,26,18.2,0.4491244675816375,0,0
EDDF,2020-03,TOT,26,22,18.2,0.14995523724261414,-0.15384615384615385,-4
EDDF,2020-04,TOT,26,7,18.2,0,-0.7307692307692307,-19
EDDF,2020-05,TOT,26,8,18.2,0,-0.6923076923076923,-18
EDDF,2020-06,TOT,26,9,18.2,0,-0.6538461538461539,-17
EDDF,2020-07,TOT,26,12,18.2,0.0017977528089887641,-0.5384615384615384,-14
EDDF,2020-08,TOT,26,14,18.2,0.004939380332285586,-0.46153846153846156,-12
EDDF,2020-09,TOT,26,13,18.2,0.003236245954692557,-0.5,-13
EDDF,2020-10,TOT,26,13,18.2,8.92458723784025e-4,-0.5,-13
EDDF,2020-11,TOT,26,11,18.2,0,-0.5769230769230769,-15
EDDF,2020-12,TOT,26,12,18.2,0,-0.5384615384615384,-14
EDDF,2021-01,TOT,26,12,18.2,4.514672686230248e-4,-0.5384615384615384,-14
EDDF,2021-02,TOT,26,11,18.2,0,-0.5769230769230769,-15
EDDF,2021-03,TOT,26,12,18.2,0,-0.5384615384615384,-14
EDDF,2021-04,TOT,26,13,18.2,4.6382189239332097e-4,-0.5,-13
EDDF,2021-05,TOT,26,13,18.2,8.984725965858042e-4,-0.5,-13
EDDF,2021-06,TOT,26,16,18.2,0.011526048870447211,-0.38461538461538464,-10
EDDF,2021-07,TOT,26,20,18.2,0.08418254319893664,-0.23076923076923078,-6
EDDF,2021-08,TOT,26,20,18.2,0.10305676855895196,-0.23076923076923078,-6
EDDF,2021-09,TOT,26,20,18.2,0.1244302643573382,-0.23076923076923078,-6
EDDF,2021-10,TOT,26,21,18.2,0.15222173339199296,-0.19230769230769232,-5
EDDF,2021-11,TOT,26,21,18.2,0.1464088397790055,-0.19230769230769232,-5
EDDF,2021-12,TOT,26,20,18.2,0.11898395721925134,-0.23076923076923078,-6
EDDF,2022-01,TOT,26,18,18.2,0.04742729306487696,-0.3076923076923077,-8
EDDF,2022-02,TOT,26,18,18.2,0.03460207612456748,-0.3076923076923077,-8
EDDF,2022-03,TOT,26,19,18.2,0.07250889679715303,-0.2692307692307692,-7
EDDF,2022-04,TOT,26,22,18.2,0.23104693140794225,-0.15384615384615385,-4
EDDF,2022-05,TOT,26,24,18.2,0.3500874125874126,-0.07692307692307693,-2
EDDF,2022-06,TOT,26,24,18.2,0.3631085305940152,-0.07692307692307693,-2
EDDF,2022-07,TOT,26,23,18.2,0.29335634167385677,-0.11538461538461539,-3
EDDF,2022-08,TOT,26,23,18.2,0.32662877131613466,-0.11538461538461539,-3
EDDF,2022-09,TOT,26,23,18.2,0.3028263795423957,-0.11538461538461539,-3
EDDF,2022-10,TOT,26,23,18.2,0.30765864332603937,-0.11538461538461539,-3
EDDF,2022-11,TOT,26,23,18.2,0.26463808206546796,-0.11538461538461539,-3
EDDF,2022-12,TOT,26,21,18.2,0.15828596414516835,-0.19230769230769232,-5
EDDM,2019-01,TOT,22,22,15.399999999999999,0.40334728033472805,0,0
EDDM,2019-02,TOT,22,23,15.399999999999999,0.47652254765225477,0.045454545454545456,1
EDDM,2019-03,TOT,22,23,15.399999999999999,0.5149625935162094,0.045454545454545456,1
EDDM,2019-04,TOT,22,23,15.399999999999999,0.5678260869565217,0.045454545454545456,1
EDDM,2019-05,TOT,22,23,15.399999999999999,0.641318124207858,0.045454545454545456,1
EDDM,2019-06,TOT,22,24,15.399999999999999,0.6199484092863284,0.09090909090909091,2
EDDM,2019-07,TOT,22,23,15.399999999999999,0.6178184845961698,0.045454545454545456,1
EDDM,2019-08,TOT,22,23,15.399999999999999,0.5787941787941788,0.045454545454545456,1
EDDM,2019-09,TOT,22,24,15.399999999999999,0.6972596781209222,0.09090909090909091,2
EDDM,2019-10,TOT,22,23,15.399999999999999,0.6298482293423272,0.045454545454545456,1
EDDM,2019-11,TOT,22,22,15.399999999999999,0.4690423162583519,0,0
EDDM,2019-12,TOT,22,22,15.399999999999999,0.40916736753574434,0,0
EDDM,2020-01,TOT,22,21,15.399999999999999,0.397722479966259,-0.045454545454545456,-1
EDDM,2020-02,TOT,22,22,15.399999999999999,0.4496124031007752,0,0
EDDM,2020-03,TOT,22,19,15.399999999999999,0.15295748613678373,-0.13636363636363635,-3
EDDM,2020-04,TOT,22,3,15.399999999999999,0,-0.8636363636363636,-19
EDDM,2020-05,TOT,22,3,15.399999999999999,0,-0.8636363636363636,-19
EDDM,2020-06,TOT,22,6,15.399999999999999,0,-0.7272727272727273,-16
EDDM,2020-07,TOT,22,9,15.399999999999999,0,-0.5909090909090909,-13
EDDM,2020-08,TOT,22,10,15.399999999999999,0,-0.5454545454545454,-12
EDDM,2020-09,TOT,22,11,15.399999999999999,0.001374885426214482,-0.5,-11
EDDM,2020-10,TOT,22,10,15.399999999999999,4.510599909788002e-4,-0.5454545454545454,-12
EDDM,2020-11,TOT,22,7,15.399999999999999,0,-0.6818181818181818,-15
EDDM,2020-12,TOT,22,6,15.399999999999999,0,-0.7272727272727273,-16
EDDM,2021-01,TOT,22,6,15.399999999999999,0,-0.7272727272727273,-16
EDDM,2021-02,TOT,22,4,15.399999999999999,0,-0.8181818181818182,-18
EDDM,2021-03,TOT,22,6,15.399999999999999,0,-0.7272727272727273,-16
EDDM,2021-04,TOT,22,7,15.399999999999999,0,-0.6818181818181818,-15
EDDM,2021-05,TOT,22,8,15.399999999999999,0,-0.6363636363636364,-14
EDDM,2021-06,TOT,22,12,15.399999999999999,0,-0.45454545454545453,-10
EDDM,2021-07,TOT,22,13,15.399999999999999,0,-0.4090909090909091,-9
EDDM,2021-08,TOT,22,14,15.399999999999999,0.0017086715079026058,-0.36363636363636365,-8
EDDM,2021-09,TOT,22,14,15.399999999999999,0.006172839506172839,-0.36363636363636365,-8
EDDM,2021-10,TOT,22,16,15.399999999999999,0.07155172413793104,-0.2727272727272727,-6
EDDM,2021-11,TOT,22,17,15.399999999999999,0.09560489352061623,-0.22727272727272727,-5
EDDM,2021-12,TOT,22,17,15.399999999999999,0.07594381035996488,-0.22727272727272727,-5
