APT,DATE,ARRS,DEPS,HEAVY,MED,LIGHT
SBBR,2019-01-01,127,145,0,272,0
SBBR,2019-01-02,180,187,0,367,0
SBBR,2019-01-03,183,179,0,362,0
SBBR,2019-01-04,180,168,2,346,0
SBBR,2019-01-05,138,141,0,279,0
SBBR,2019-01-06,139,143,1,281,0
SBBR,2019-01-07,187,185,1,371,0
SBBR,2019-01-08,183,175,1,357,0
SBBR,2019-01-09,179,187,1,365,0
SBBR,2019-01-10,190,181,1,370,0
SBBR,2019-01-11,184,184,0,368,0
SBBR,2019-01-12,141,135,1,275,0
SBBR,2019-01-13,138,141,1,278,0
SBBR,2019-01-14,182,190,0,372,0
SBBR,2019-01-15,187,187,2,372,0
SBBR,2019-01-16,185,183,1,367,0
SBBR,2019-01-17,187,185,2,370,0
SBBR,2019-01-18,190,187,NA,NA,NA
SBBR,2019-01-19,141,138,1,278,0
SBBR,2019-01-20,134,142,0,276,0
SBBR,2019-01-21,189,193,0,382,0
SBBR,2019-01-22,187,186,2,371,0
SBBR,2019-01-23,183,186,3,366,0
SBBR,2019-01-24,177,177,NA,NA,NA
SBBR,2019-01-25,186,179,1,364,0
SBBR,2019-01-26,139,136,0,275,0
SBBR,2019-01-27,136,139,0,275,0
SBBR,2019-01-28,186,191,2,375,0
SBBR,2019-01-29,180,183,1,362,0
SBBR,2019-01-30,186,179,0,365,0
SBBR,2019-01-31,182,184,0,366,0
SBBR,2019-02-01,180,176,1,355,0
SBBR,2019-02-02,137,135,0,272,0
SBBR,2019-02-03,129,127,1,255,0
SBBR,2019-02-04,188,178,0,366,0
SBBR,2019-02-05,183,189,0,372,0
SBBR,2019-02-06,183,176,1,358,0
SBBR,2019-02-07,182,176,1,357,0
SBBR,2019-02-08,186,182,2,366,0
SBBR,2019-02-09,138,134,2,270,0
SBBR,2019-02-10,121,126,1,246,0
SBBR,2019-02-11,183,189,0,372,0
SBBR,2019-02-12,178,181,0,359,0
SBBR,2019-02-13,180,178,1,357,0
SBBR,2019-02-14,191,183,0,374,0
SBBR,2019-02-15,177,179,0,356,0
SBBR,2019-02-16,133,129,0,262,0
SBBR,2019-02-17,115,106,0,221,0
SBBR,2019-02-18,186,182,1,367,0
SBBR,2019-02-19,186,183,2,367,0
SBBR,2019-02-20,182,182,1,363,0
SBBR,2019-02-21,184,181,0,365,0
SBBR,2019-02-22,186,183,1,368,0
SBBR,2019-02-23,139,143,0,282,0
SBBR,2019-02-24,122,118,0,240,0
SBBR,2019-02-25,185,190,0,375,0
SBBR,2019-02-26,186,179,2,363,0
SBBR,2019-02-27,184,179,0,363,0
SBBR,2019-02-28,185,184,1,368,0
SBBR,2019-03-01,190,185,0,375,0
SBBR,2019-03-02,145,145,1,289,0
SBBR,2019-03-03,98,94,0,192,0
SBBR,2019-03-04,117,115,0,232,0
SBBR,2019-03-05,142,145,0,287,0
SBBR,2019-03-06,183,181,0,364,0
SBBR,2019-03-07,180,180,1,359,0
SBBR,2019-03-08,162,162,0,324,0
SBBR,2019-03-09,126,127,0,253,0
SBBR,2019-03-10,137,135,1,271,0
SBBR,2019-03-11,190,184,1,373,0
SBBR,2019-03-12,187,185,4,368,0
SBBR,2019-03-13,189,189,4,374,0
SBBR,2019-03-14,177,183,2,358,0
SBBR,2019-03-15,194,186,2,378,0
SBBR,2019-03-16,144,139,0,283,0
SBBR,2019-03-17,130,132,0,262,0
SBBR,2019-03-18,193,193,0,386,0
SBBR,2019-03-19,184,182,0,366,0
SBBR,2019-03-20,186,189,0,375,0
SBBR,2019-03-21,192,191,1,382,0
SBBR,2019-03-22,186,183,0,369,0
SBBR,2019-03-23,144,141,3,282,0
SBBR,2019-03-24,127,129,0,256,0
SBBR,2019-03-25,192,197,1,388,0
SBBR,2019-03-26,186,185,0,371,0
SBBR,2019-03-27,190,188,0,378,0
SBBR,2019-03-28,190,190,0,380,0
SBBR,2019-03-29,188,187,2,373,0
SBBR,2019-03-30,141,147,2,286,0
SBBR,2019-03-31,128,127,0,255,0
SBBR,2019-04-01,187,182,1,368,0
SBBR,2019-04-02,174,172,2,344,0
SBBR,2019-04-03,169,172,2,339,0
SBBR,2019-04-04,171,172,1,342,0
SBBR,2019-04-05,191,188,2,377,0
SBBR,2019-04-06,134,134,0,268,0
SBBR,2019-04-07,127,125,2,250,0
SBBR,2019-04-08,188,182,1,369,0
SBBR,2019-04-09,166,159,2,323,0
SBBR,2019-04-10,171,169,0,340,0
SBBR,2019-04-11,177,180,0,357,0
SBBR,2019-04-12,191,179,0,370,0
SBBR,2019-04-13,130,134,0,264,0
SBBR,2019-04-14,118,118,0,236,0
SBBR,2019-04-15,189,182,0,371,0
SBBR,2019-04-16,174,168,2,340,0
SBBR,2019-04-17,173,173,0,346,0
SBBR,2019-04-18,181,181,0,362,0
SBBR,2019-04-19,159,151,2,308,0
SBBR,2019-04-20,70,77,0,147,0
SBBR,2019-04-21,126,122,0,248,0
SBBR,2019-04-22,186,183,0,369,0
SBBR,2019-04-23,179,174,2,351,0
SBBR,2019-04-24,162,165,0,327,0
SBBR,2019-04-25,161,157,NA,NA,NA
SBBR,2019-04-26,181,180,2,359,0
SBBR,2019-04-27,119,123,0,242,0
SBBR,2019-04-28,114,105,0,219,0
SBBR,2019-04-29,170,168,2,336,0
SBBR,2019-04-30,164,163,2,325,0
SBBR,2019-05-01,149,151,0,300,0
SBBR,2019-05-02,158,154,0,312,0
SBBR,2019-05-03,170,171,2,339,0
SBBR,2019-05-04,121,122,1,242,0
SBBR,2019-05-05,117,115,0,232,0
SBBR,2019-05-06,175,174,0,349,0
SBBR,2019-05-07,172,166,3,335,0
SBBR,2019-05-08,155,156,0,311,0
SBBR,2019-05-09,168,167,0,335,0
SBBR,2019-05-10,177,174,2,349,0
SBBR,2019-05-11,120,123,0,243,0
SBBR,2019-05-12,109,107,2,214,0
SBBR,2019-05-13,181,176,0,357,0
SBBR,2019-05-14,172,177,2,347,0
SBBR,2019-05-15,167,162,0,329,0
SBBR,2019-05-16,170,166,0,336,0
SBBR,2019-05-17,175,170,2,343,0
SBBR,2019-05-18,115,120,0,235,0
SBBR,2019-05-19,114,110,0,224,0
SBBR,2019-05-20,176,173,0,349,0
SBBR,2019-05-21,176,170,2,344,0
SBBR,2019-05-22,159,163,1,321,0
SBBR,2019-05-23,165,162,0,327,0
SBBR,2019-05-24,172,167,3,336,0
SBBR,2019-05-25,117,122,1,238,0
SBBR,2019-05-26,113,109,0,222,0
SBBR,2019-05-27,171,168,0,339,0
SBBR,2019-05-28,167,167,3,331,0
SBBR,2019-05-29,160,162,0,322,0
SBBR,2019-05-30,169,167,0,336,0
SBBR,2019-05-31,177,175,3,349,0
SBBR,2019-06-01,122,121,2,241,0
SBBR,2019-06-02,111,105,0,216,0
SBBR,2019-06-03,176,174,0,350,0
SBBR,2019-06-04,172,169,0,341,0
SBBR,2019-06-05,160,162,1,321,0
SBBR,2019-06-06,166,165,0,331,0
SBBR,2019-06-07,170,171,2,339,0
SBBR,2019-06-08,120,122,0,242,0
SBBR,2019-06-09,108,105,0,213,0
SBBR,2019-06-10,171,170,0,341,0
SBBR,2019-06-11,169,162,0,331,0
SBBR,2019-06-12,161,169,0,330,0
SBBR,2019-06-13,164,163,0,327,0
SBBR,2019-06-14,179,173,2,350,0
SBBR,2019-06-15,121,123,0,244,0
SBBR,2019-06-16,111,104,0,215,0
SBBR,2019-06-17,177,173,0,350,0
SBBR,2019-06-18,170,171,2,339,0
SBBR,2019-06-19,166,167,0,333,0
SBBR,2019-06-20,159,161,2,318,0
SBBR,2019-06-21,110,108,0,218,0
SBBR,2019-06-22,81,81,0,162,0
SBBR,2019-06-23,115,118,2,231,0
SBBR,2019-06-24,177,176,0,353,0
SBBR,2019-06-25,170,168,2,336,0
SBBR,2019-06-26,166,168,0,334,0
SBBR,2019-06-27,163,162,1,324,0
SBBR,2019-06-28,168,168,2,334,0
SBBR,2019-06-29,118,115,1,232,0
SBBR,2019-06-30,105,110,0,215,0
SBBR,2019-07-01,173,170,0,343,0
SBBR,2019-07-02,179,173,2,350,0
SBBR,2019-07-03,176,179,1,354,0
SBBR,2019-07-04,172,167,0,339,0
SBBR,2019-07-05,182,179,0,361,0
SBBR,2019-07-06,134,130,1,263,0
SBBR,2019-07-07,120,124,0,244,0
SBBR,2019-07-08,186,176,0,362,0
SBBR,2019-07-09,180,182,2,360,0
SBBR,2019-07-10,187,184,0,371,0
SBBR,2019-07-11,178,179,0,357,0
SBBR,2019-07-12,178,177,3,352,0
SBBR,2019-07-13,134,133,0,267,0
SBBR,2019-07-14,123,121,0,244,0
SBBR,2019-07-15,185,184,0,369,0
SBBR,2019-07-31,184,188,0,372,0
SBBR,2019-08-01,165,159,0,324,0
SBBR,2019-08-02,160,159,0,319,0
SBBR,2019-08-03,116,115,1,230,0
SBBR,2019-08-04,121,118,0,239,0
SBBR,2019-08-05,167,166,1,332,0
SBBR,2019-08-06,163,158,2,319,0
SBBR,2019-08-07,165,163,1,327,0
SBBR,2019-08-08,167,164,0,331,0
SBBR,2019-08-09,166,166,0,332,0
SBBR,2019-08-10,131,128,0,259,0
SBBR,2019-08-11,119,125,0,244,0
SBBR,2019-08-12,176,174,0,350,0
SBBR,2019-08-13,169,165,2,332,0
SBBR,2019-08-14,165,163,2,326,0
SBBR,2019-08-15,163,166,0,329,0
SBBR,2019-08-16,168,161,2,327,0
SBBR,2019-08-17,125,123,0,248,0
SBBR,2019-08-18,116,122,0,238,0
SBBR,2019-08-19,175,170,0,345,0
SBBR,2019-08-20,165,168,0,333,0
SBBR,2019-08-21,166,161,2,325,0
SBBR,2019-08-22,168,165,0,333,0
SBBR,2019-08-23,167,168,2,333,0
SBBR,2019-08-24,131,126,0,257,0
SBBR,2019-08-25,118,125,0,243,0
SBBR,2019-08-26,175,173,0,348,0
SBBR,2019-08-27,167,163,2,328,0
SBBR,2019-08-28,165,165,0,330,0
SBBR,2019-08-29,163,165,0,328,0
SBBR,2019-08-30,167,162,2,327,0
SBBR,2019-08-31,126,122,0,248,0
SBBR,2019-09-01,122,124,0,246,0
SBBR,2019-09-02,185,175,0,360,0
SBBR,2019-09-03,170,174,0,344,0
SBBR,2019-09-04,168,167,0,335,0
SBBR,2019-09-05,173,172,0,345,0
SBBR,2019-09-06,173,170,0,343,0
SBBR,2019-09-07,128,129,0,257,0
SBBR,2019-09-08,126,132,0,258,0
SBBR,2019-09-09,184,180,0,364,0
SBBR,2019-09-10,171,170,0,341,0
SBBR,2019-09-11,173,171,0,344,0
SBBR,2019-09-12,172,173,0,345,0
SBBR,2019-09-13,175,172,0,347,0
SBBR,2019-09-14,127,129,0,256,0
SBBR,2019-09-15,125,131,0,256,0
SBBR,2019-09-16,183,180,1,362,0
SBBR,2019-09-17,170,171,4,337,0
