ADES,DATE,N,N_VALID,SUM_TRAVEL,SUM_REF,CHECK_ADD,SUM_ADD_TIME,OK,AVG_ADD_TIME
SBGR,2023-01-01T00:00:00Z,11228,11218,295922.9333333322,258747.3833333315,37175.550000000105,37175.55000000069,TRUE,3.313919593510491
SBGR,2023-02-01T00:00:00Z,9087,9076,240217.58333333273,210016.59333333228,30200.99000000006,30200.990000000456,TRUE,3.3275661084178556
SBGR,2023-03-01T00:00:00Z,9819,9807,260058.7999999998,226128.87666666543,33929.923333333485,33929.92333333439,TRUE,3.459765813534658
SBGR,2023-04-01T00:00:00Z,9697,9687,268415.0500000006,223685.80333333256,44729.24666666658,44729.24666666807,TRUE,4.6174508791853075
SBGR,2023-05-01T00:00:00Z,10773,10772,297246.4333333347,248504.54333333357,48741.890000000065,48741.89000000112,TRUE,4.524869105087367
SBGR,2023-06-01T00:00:00Z,10241,10233,287221.26666666684,236645.11666666617,50576.14999999986,50576.15000000066,TRUE,4.942455780318642
SBGR,2023-07-01T00:00:00Z,11798,11788,325691.31666666566,271972.3366666672,53718.9799999999,53718.97999999847,TRUE,4.55709026128253
SBGR,2023-08-01T00:00:00Z,11387,11382,316462.8499999997,262509.8566666657,53952.9933333336,53952.99333333399,TRUE,4.740203244889649
SBGR,2023-09-01T00:00:00Z,10614,10608,290318.38333333435,244725.7133333337,45592.67000000016,45592.67000000065,TRUE,4.297951546003078
SBGR,2023-10-01T00:00:00Z,11217,11194,309716.7666666683,258634.71333333003,51082.053333333344,51082.05333333826,TRUE,4.563342266690929
SBGR,2023-11-01T00:00:00Z,10589,10571,288125.7666666658,243850.0466666646,44275.71999999987,44275.720000001194,TRUE,4.188413584334613
SBGR,2023-12-01T00:00:00Z,11612,11608,311620.95,267646.2299999969,43974.7199999999,43974.720000003115,TRUE,3.788311509304197
SBGL,2023-01-01T00:00:00Z,2410,1786,45763.53333333327,39543.81000000012,6219.723333333336,6219.723333333146,TRUE,3.4824878686075844
SBGL,2023-02-01T00:00:00Z,2045,1476,37409.56666666666,32497.196666666772,4912.370000000006,4912.369999999886,TRUE,3.3281639566394894
SBGL,2023-03-01T00:00:00Z,1975,1476,36497.616666666625,31939.673333333365,4557.943333333325,4557.94333333326,TRUE,3.0880374887081707
SBGL,2023-04-01T00:00:00Z,1868,1359,33599.73333333333,29286.226666666713,4313.506666666669,4313.506666666617,TRUE,3.1740299239636625
SBGL,2023-05-01T00:00:00Z,1962,1384,33978.066666666666,29667.08000000007,4310.986666666666,4310.986666666595,TRUE,3.1148747591521637
SBGL,2023-06-01T00:00:00Z,1819,1334,33230.33333333338,28950.006666666668,4280.326666666666,4280.326666666711,TRUE,3.2086406796602036
