ADES,DATE,RWY,C100_SECT,N,N_VALID,A100,REF_20,ADD_TIME
SBGL,2021-02-28T00:00:00Z,15,4,1,1,22.866666666666667,20.466666666666665,2.400000000000002
SBGL,2021-03-03T00:00:00Z,15,1,2,2,57.85,43.666666666666664,14.183333333333337
SBGL,2021-03-03T00:00:00Z,15,3,1,1,22,22.433333333333334,-0.43333333333333357
SBGL,2021-03-05T00:00:00Z,15,1,1,1,27.05,21.833333333333332,5.216666666666669
SBGL,2021-03-05T00:00:00Z,15,4,1,1,22.85,22.3,0.5500000000000007
SBGL,2021-03-05T00:00:00Z,15,5,2,0,36.91666666666667,NA,NA
SBGL,2021-03-05T00:00:00Z,33,1,3,3,101.01666666666667,73.15,27.866666666666664
SBGL,2021-03-08T00:00:00Z,15,1,3,3,78.96666666666667,65.5,13.466666666666672
SBGL,2021-03-08T00:00:00Z,15,4,2,2,52.63333333333334,40.93333333333333,11.700000000000006
SBGL,2021-03-08T00:00:00Z,15,5,1,0,21.383333333333333,NA,NA
SBGL,2021-03-09T00:00:00Z,15,1,5,5,132.43333333333334,109.16666666666666,23.266666666666673
SBGL,2021-03-09T00:00:00Z,15,4,3,3,68.23333333333333,61.39999999999999,6.833333333333339
SBGL,2021-03-09T00:00:00Z,15,5,7,0,162.70000000000002,NA,NA
SBGL,2021-03-10T00:00:00Z,15,1,8,8,216.05,181.99,34.06
SBGL,2021-03-10T00:00:00Z,15,3,2,2,48.58333333333333,44.86666666666667,3.716666666666665
SBGL,2021-03-10T00:00:00Z,15,4,13,13,305.25000000000006,267.9,37.35000000000002
SBGL,2021-03-10T00:00:00Z,15,5,10,0,214.33333333333331,NA,NA
SBGL,2021-03-11T00:00:00Z,15,1,10,10,266.68333333333334,222.59000000000003,44.09333333333335
SBGL,2021-03-11T00:00:00Z,15,4,12,12,251.2,251.10000000000002,0.10000000000001918
SBGL,2021-03-11T00:00:00Z,15,5,13,0,266.95,NA,NA
SBGL,2021-03-12T00:00:00Z,15,1,11,11,318.18333333333334,253.28000000000003,64.90333333333334
SBGL,2021-03-12T00:00:00Z,15,4,9,9,202.31666666666666,186.03333333333333,16.283333333333342
SBGL,2021-03-12T00:00:00Z,15,5,13,0,312.35,NA,NA
SBGL,2021-03-13T00:00:00Z,15,1,8,8,223.4,180.45666666666668,42.94333333333334
SBGL,2021-03-13T00:00:00Z,15,3,2,2,63.46666666666667,46.58333333333333,16.883333333333333
SBGL,2021-03-13T00:00:00Z,15,4,8,8,185.5,165.56666666666666,19.933333333333344
SBGL,2021-03-13T00:00:00Z,15,5,8,0,177.01666666666668,NA,NA
SBGL,2021-03-14T00:00:00Z,15,1,8,8,209.88333333333333,173.13333333333335,36.75
SBGL,2021-03-14T00:00:00Z,15,3,3,3,88.78333333333333,67.3,21.483333333333334
SBGL,2021-03-14T00:00:00Z,15,4,6,6,140.76666666666665,124.63333333333333,16.133333333333344
SBGL,2021-03-14T00:00:00Z,15,5,10,0,248.35000000000002,NA,NA
SBGL,2021-03-15T00:00:00Z,15,1,11,11,309.75,244.42333333333337,65.32666666666667
SBGL,2021-03-15T00:00:00Z,15,3,2,2,44.56666666666666,44.86666666666667,-0.3000000000000007
SBGL,2021-03-15T00:00:00Z,15,4,8,8,255.81666666666663,169.23333333333335,86.58333333333333
SBGL,2021-03-15T00:00:00Z,15,5,8,0,167.66666666666669,NA,NA
SBGL,2021-03-16T00:00:00Z,15,1,8,8,220.0333333333333,178.92333333333332,41.11
SBGL,2021-03-16T00:00:00Z,15,4,10,10,222.53333333333333,208.28333333333333,14.25000000000001
SBGL,2021-03-16T00:00:00Z,15,5,9,0,207.61666666666667,NA,NA
SBGL,2021-03-17T00:00:00Z,15,1,8,8,227.71666666666667,180.45666666666668,47.260000000000005
