ADES,DATE,RWY,C100_SECT,N,N_VALID,A100,REF_20,ADD_TIME
SBGR,2021-02-28T00:00:00Z,09R,1,3,3,72.5,69.10000000000001,3.399999999999995
SBGR,2021-02-28T00:00:00Z,09R,2,1,1,24.733333333333334,25.016666666666666,-0.28333333333333144
SBGR,2021-02-28T00:00:00Z,09R,3,2,2,51.150000000000006,47.4,3.7500000000000036
SBGR,2021-03-03T00:00:00Z,27L,1,25,25,533.4999999999999,540.0533333333333,-6.553333333333335
SBGR,2021-03-03T00:00:00Z,27L,2,4,4,82.1,83.3,-1.1999999999999993
SBGR,2021-03-03T00:00:00Z,27L,3,7,7,193.95000000000002,188.41666666666666,5.533333333333321
SBGR,2021-03-03T00:00:00Z,27L,4,4,4,96.85,100.49666666666666,-3.646666666666672
SBGR,2021-03-05T00:00:00Z,27L,1,18,18,427.2166666666667,390.3666666666667,36.85
SBGR,2021-03-05T00:00:00Z,27L,2,8,8,193.64999999999998,172.97999999999996,20.670000000000005
SBGR,2021-03-05T00:00:00Z,27L,3,16,16,467.2833333333333,434.96666666666675,32.31666666666665
SBGR,2021-03-05T00:00:00Z,27L,4,5,5,125.65,122.75,2.8999999999999986
SBGR,2021-03-08T00:00:00Z,09L,1,3,3,70.06666666666666,67.97666666666666,2.0900000000000034
SBGR,2021-03-08T00:00:00Z,09L,2,1,1,25.766666666666666,24.803333333333335,0.9633333333333312
SBGR,2021-03-08T00:00:00Z,09L,3,2,2,50.233333333333334,42.980000000000004,7.25333333333333
SBGR,2021-03-08T00:00:00Z,09L,4,1,1,23.55,19.19333333333333,4.356666666666669
SBGR,2021-03-08T00:00:00Z,09R,1,25,25,811.2166666666667,575.0666666666668,236.14999999999995
SBGR,2021-03-08T00:00:00Z,09R,2,5,5,165.26666666666665,123.18333333333331,42.08333333333333
SBGR,2021-03-08T00:00:00Z,09R,3,10,10,376.1166666666667,235.24333333333328,140.87333333333333
SBGR,2021-03-08T00:00:00Z,09R,4,4,4,162.95,83.04999999999998,79.9
SBGR,2021-03-09T00:00:00Z,09R,1,30,30,737.85,692.1866666666667,45.663333333333284
SBGR,2021-03-09T00:00:00Z,09R,2,7,7,219.6,173.84999999999997,45.750000000000014
SBGR,2021-03-09T00:00:00Z,09R,3,19,19,525.45,450.29999999999984,75.15
SBGR,2021-03-09T00:00:00Z,09R,4,6,6,166.33333333333334,125.8,40.53333333333334
SBGR,2021-03-09T00:00:00Z,27L,1,40,40,948.3999999999997,870.0999999999999,78.30000000000001
SBGR,2021-03-09T00:00:00Z,27L,2,6,6,138.45,132.07999999999998,6.370000000000001
SBGR,2021-03-09T00:00:00Z,27L,3,15,15,431.8166666666667,405.0166666666667,26.79999999999999
SBGR,2021-03-09T00:00:00Z,27L,4,7,7,187.48333333333335,178.7166666666667,8.766666666666659
SBGR,2021-03-09T00:00:00Z,27R,3,1,1,25.066666666666666,25.21,-0.14333333333333442
SBGR,2021-03-10T00:00:00Z,09L,1,15,15,360.45,340.83,19.620000000000005
SBGR,2021-03-10T00:00:00Z,09L,2,4,4,100.48333333333332,98.20333333333335,2.279999999999994
SBGR,2021-03-10T00:00:00Z,09L,3,4,4,91.96666666666667,84.10333333333332,7.863333333333326
SBGR,2021-03-10T00:00:00Z,09L,4,1,1,21.416666666666668,19.19333333333333,2.2233333333333363
SBGR,2021-03-10T00:00:00Z,09R,1,84,84,1979.316666666667,1931.8066666666653,47.50999999999988
SBGR,2021-03-10T00:00:00Z,09R,2,12,12,366.4833333333333,307.8733333333333,58.610000000000014
SBGR,2021-03-10T00:00:00Z,09R,3,24,24,647.4833333333333,567.0433333333333,80.43999999999998
SBGR,2021-03-10T00:00:00Z,09R,4,14,14,327.6333333333333,293.5333333333333,34.10000000000004
SBGR,2021-03-10T00:00:00Z,27L,1,37,37,847.8833333333331,809.7799999999999,38.10333333333333
SBGR,2021-03-10T00:00:00Z,27L,2,8,8,180.2833333333333,167.35,12.93333333333334
SBGR,2021-03-10T00:00:00Z,27L,3,14,14,381.45,376.83333333333337,4.616666666666653
SBGR,2021-03-10T00:00:00Z,27L,4,9,9,238.83333333333331,224.38333333333338,14.45
SBGR,2021-03-11T00:00:00Z,09L,1,11,11,261.3666666666667,250.03666666666666,11.330000000000005
SBGR,2021-03-11T00:00:00Z,09L,2,5,5,125.08333333333331,121.99666666666667,3.0866666666666625
SBGR,2021-03-11T00:00:00Z,09L,3,3,3,73.33333333333333,64.47,8.86333333333333
SBGR,2021-03-11T00:00:00Z,09L,4,2,2,41.28333333333333,38.38666666666666,2.896666666666672
SBGR,2021-03-11T00:00:00Z,09R,1,77,77,1868.2999999999995,1768.2733333333322,100.02666666666654
SBGR,2021-03-11T00:00:00Z,09R,2,6,6,166.66666666666666,150.1,16.566666666666674
SBGR,2021-03-11T00:00:00Z,09R,3,25,25,677.9666666666668,590.7433333333333,87.2233333333334
SBGR,2021-03-11T00:00:00Z,09R,4,10,10,254.8,208.85,45.95000000000002
SBGR,2021-03-11T00:00:00Z,27L,1,43,43,1029.3666666666668,922.06,107.30666666666667
SBGR,2021-03-11T00:00:00Z,27L,2,12,12,263.46666666666664,250.64999999999995,12.816666666666674
SBGR,2021-03-11T00:00:00Z,27L,3,16,16,448.35,427.13333333333344,21.216666666666654
SBGR,2021-03-11T00:00:00Z,27L,4,6,6,158.7,147.3,11.399999999999999
SBGR,2021-03-12T00:00:00Z,09,1,1,0,0.6333333333333333,NA,NA
SBGR,2021-03-12T00:00:00Z,09L,1,2,2,45.833333333333336,45.63333333333333,0.20000000000000284
SBGR,2021-03-12T00:00:00Z,09L,3,1,1,24.833333333333332,21.490000000000002,3.34333333333333
SBGR,2021-03-12T00:00:00Z,09R,1,105,105,2597.1666666666665,2409.373333333332,187.7933333333331
SBGR,2021-03-12T00:00:00Z,09R,2,16,16,438.7666666666667,402.2033333333332,36.56333333333334
SBGR,2021-03-12T00:00:00Z,09R,3,33,33,878.65,781.176666666667,97.47333333333334
SBGR,2021-03-12T00:00:00Z,09R,4,18,18,447.3499999999999,380.26666666666654,67.08333333333334
SBGR,2021-03-12T00:00:00Z,27L,1,24,24,571.65,518.5533333333333,53.09666666666667
SBGR,2021-03-12T00:00:00Z,27L,2,7,7,156.55,146.9,9.650000000000002
SBGR,2021-03-12T00:00:00Z,27L,3,14,14,444.5,379.3666666666666,65.13333333333333
SBGR,2021-03-12T00:00:00Z,27L,4,5,5,117.75,122.75,-5
SBGR,2021-03-13T00:00:00Z,09R,1,85,85,2060.0333333333333,1949.473333333332,110.55999999999987
SBGR,2021-03-13T00:00:00Z,09R,2,10,10,273.05,253.36999999999995,19.680000000000007
SBGR,2021-03-13T00:00:00Z,09R,3,27,27,694.2166666666666,636.3866666666668,57.83
SBGR,2021-03-13T00:00:00Z,09R,4,15,15,371.4333333333333,313.6833333333333,57.75000000000003
SBGR,2021-03-13T00:00:00Z,27L,1,21,21,500.6166666666666,451.5,49.11666666666667
SBGR,2021-03-13T00:00:00Z,27L,2,7,7,166.3,151.03,15.27000000000001
SBGR,2021-03-13T00:00:00Z,27L,3,12,12,331.08333333333337,321.23333333333335,9.849999999999987
SBGR,2021-03-13T00:00:00Z,27L,4,3,3,84.33333333333334,77.08333333333334,7.25
SBGR,2021-03-14T00:00:00Z,09L,1,4,4,98.85,91.26666666666667,7.583333333333332
SBGR,2021-03-14T00:00:00Z,09L,4,1,1,34.53333333333333,19.19333333333333,15.34
SBGR,2021-03-14T00:00:00Z,09R,1,81,81,1892.5166666666657,1851.8999999999985,40.61666666666659
SBGR,2021-03-14T00:00:00Z,09R,2,16,16,410.9333333333333,397.0999999999999,13.833333333333343
SBGR,2021-03-14T00:00:00Z,09R,3,28,28,730.3166666666666,662.6766666666668,67.64000000000003
SBGR,2021-03-14T00:00:00Z,09R,4,8,8,182.18333333333334,167.73333333333332,14.450000000000017
SBGR,2021-03-15T00:00:00Z,09R,1,101,101,2425.6166666666672,2318.0066666666653,107.60999999999986
SBGR,2021-03-15T00:00:00Z,09R,2,22,22,599.0500000000001,555.5066666666665,43.543333333333344
SBGR,2021-03-15T00:00:00Z,09R,3,36,36,941.4333333333334,847.9300000000005,93.50333333333334
SBGR,2021-03-15T00:00:00Z,09R,4,22,22,514.2333333333333,459.6333333333331,54.60000000000002
SBGR,2021-03-16T00:00:00Z,09L,1,5,5,123.18333333333334,114.08333333333333,9.100000000000001
SBGR,2021-03-16T00:00:00Z,09L,2,1,1,25.6,24.803333333333335,0.7966666666666669
SBGR,2021-03-16T00:00:00Z,09L,4,1,1,21.45,19.19333333333333,2.2566666666666677
SBGR,2021-03-16T00:00:00Z,09R,1,105,105,2520.5999999999985,2410.139999999999,110.45999999999994
SBGR,2021-03-16T00:00:00Z,09R,2,22,22,582.1999999999999,551.0366666666665,31.163333333333348
SBGR,2021-03-16T00:00:00Z,09R,3,36,36,877.95,847.9300000000005,30.020000000000014
SBGR,2021-03-16T00:00:00Z,09R,4,13,13,297.8333333333333,271.75,26.083333333333353
SBGR,2021-03-17T00:00:00Z,09L,1,14,14,322.58333333333337,318.0133333333333,4.57
SBGR,2021-03-17T00:00:00Z,09L,2,3,3,70.66666666666666,73.4,-2.733333333333338
SBGR,2021-03-17T00:00:00Z,09L,3,3,3,65.86666666666666,62.61333333333334,3.2533333333333267
SBGR,2021-03-17T00:00:00Z,09R,1,58,58,1376.2499999999995,1329.4533333333325,46.7966666666666
SBGR,2021-03-17T00:00:00Z,09R,2,12,12,324.8333333333333,303.40333333333325,21.43000000000001
SBGR,2021-03-17T00:00:00Z,09R,3,22,22,556.1333333333333,517.8866666666665,38.24666666666667
SBGR,2021-03-17T00:00:00Z,09R,4,14,14,380.1333333333333,293.5333333333333,86.60000000000002
SBGR,2021-03-17T00:00:00Z,27L,1,31,31,693.8000000000001,671.6066666666668,22.193333333333335
SBGR,2021-03-17T00:00:00Z,27L,2,8,8,165.55,171.48000000000002,-5.929999999999989
SBGR,2021-03-17T00:00:00Z,27L,3,10,10,260.95,273.46666666666664,-12.516666666666676
SBGR,2021-03-17T00:00:00Z,27L,4,4,4,99.16666666666666,97.06333333333333,2.103333333333328
SBGR,2021-03-18T00:00:00Z,09L,1,25,25,587.5500000000001,568.0500000000002,19.500000000000004
SBGR,2021-03-18T00:00:00Z,09L,2,7,7,183.73333333333332,172.61333333333337,11.119999999999997
SBGR,2021-03-18T00:00:00Z,09L,3,11,11,302.1166666666666,236.39000000000007,65.72666666666666
SBGR,2021-03-18T00:00:00Z,09L,4,2,2,42.08333333333333,38.38666666666666,3.696666666666669
SBGR,2021-03-18T00:00:00Z,09R,1,58,58,1335.3999999999994,1332.9399999999994,2.459999999999937
SBGR,2021-03-18T00:00:00Z,09R,2,17,17,490.31666666666666,434.25999999999993,56.05666666666668
SBGR,2021-03-18T00:00:00Z,09R,3,12,12,304.09999999999997,280.8866666666666,23.213333333333342
