ADES,DATE,RWY,C100_SECT,N,N_VALID,A100,REF_20,ADD_TIME
SBKP,2021-02-28T00:00:00Z,15,1,2,2,46.849999999999994,52.333333333333336,-5.483333333333338
SBKP,2021-02-28T00:00:00Z,15,2,2,2,45.95,43.666666666666664,2.2833333333333385
SBKP,2021-02-28T00:00:00Z,15,3,2,2,53.95,39.760000000000005,14.189999999999994
SBKP,2021-02-28T00:00:00Z,15,NA,2,0,41.71666666666667,NA,NA
SBKP,2021-03-03T00:00:00Z,33,1,4,4,97.26666666666665,96,1.2666666666666657
SBKP,2021-03-03T00:00:00Z,33,2,6,6,149.33333333333331,131.29666666666668,18.036666666666665
SBKP,2021-03-03T00:00:00Z,33,3,5,5,129.36666666666667,117.59666666666666,11.770000000000014
SBKP,2021-03-03T00:00:00Z,33,NA,10,0,223.01666666666665,NA,NA
SBKP,2021-03-05T00:00:00Z,33,1,6,6,143.03333333333333,144,-0.966666666666665
SBKP,2021-03-05T00:00:00Z,33,2,8,8,190.63333333333335,175.03000000000003,15.603333333333332
SBKP,2021-03-05T00:00:00Z,33,3,8,8,285.3833333333333,197.57333333333327,87.81000000000003
SBKP,2021-03-05T00:00:00Z,33,NA,8,0,208.33333333333334,NA,NA
SBKP,2021-03-08T00:00:00Z,15,1,2,2,55.93333333333334,52.333333333333336,3.599999999999998
SBKP,2021-03-08T00:00:00Z,15,2,1,1,26.65,20.87,5.779999999999998
SBKP,2021-03-08T00:00:00Z,15,3,1,1,20.15,19.880000000000003,0.269999999999996
SBKP,2021-03-08T00:00:00Z,15,NA,2,0,55.2,NA,NA
SBKP,2021-03-08T00:00:00Z,33,1,3,3,68.01666666666667,70.56,-2.543333333333333
SBKP,2021-03-08T00:00:00Z,33,2,10,10,243.36666666666665,218.6666666666667,24.699999999999992
SBKP,2021-03-08T00:00:00Z,33,3,8,8,235.5333333333333,189.27666666666664,46.25666666666668
SBKP,2021-03-08T00:00:00Z,33,NA,8,0,195.15,NA,NA
SBKP,2021-03-09T00:00:00Z,15,1,4,4,100.15,102.76666666666668,-2.616666666666667
SBKP,2021-03-09T00:00:00Z,15,2,11,11,289.3333333333333,242.46333333333337,46.87000000000001
SBKP,2021-03-09T00:00:00Z,15,3,14,14,312.15000000000003,280.77666666666664,31.373333333333314
SBKP,2021-03-09T00:00:00Z,15,NA,15,0,332.38333333333327,NA,NA
SBKP,2021-03-09T00:00:00Z,33,1,7,7,157.08333333333334,168,-10.916666666666664
SBKP,2021-03-09T00:00:00Z,33,2,17,17,499.81666666666666,379.6866666666667,120.13
SBKP,2021-03-09T00:00:00Z,33,3,18,18,557.45,445.61999999999983,111.83000000000004
SBKP,2021-03-09T00:00:00Z,33,NA,14,0,373.5833333333333,NA,NA
SBKP,2021-03-10T00:00:00Z,15,1,10,10,271.7166666666667,261.66666666666663,10.04999999999999
SBKP,2021-03-10T00:00:00Z,15,2,26,26,576.25,569,7.250000000000028
SBKP,2021-03-10T00:00:00Z,15,3,33,33,775.1166666666667,668.8899999999999,106.2266666666666
SBKP,2021-03-10T00:00:00Z,15,NA,29,0,680.5666666666667,NA,NA
SBKP,2021-03-10T00:00:00Z,33,1,7,7,168.9,168,0.8999999999999986
SBKP,2021-03-10T00:00:00Z,33,2,9,9,209.48333333333335,196.80000000000004,12.683333333333326
SBKP,2021-03-10T00:00:00Z,33,3,8,8,239.8,189.27666666666667,50.523333333333355
SBKP,2021-03-10T00:00:00Z,33,NA,14,0,330.95,NA,NA
SBKP,2021-03-11T00:00:00Z,07,NA,3,0,130.26666666666668,NA,NA
SBKP,2021-03-11T00:00:00Z,15,1,10,10,265.0333333333333,261.66666666666663,3.3666666666666565
