ADES,DATE,RWY,C100_SECT,N,N_VALID,A100,REF_20,ADD_TIME
SBRJ,2021-02-28T00:00:00Z,20L,1,1,1,24.483333333333334,22.85333333333334,1.6299999999999955
SBRJ,2021-02-28T00:00:00Z,20L,2,2,2,44.41666666666667,41.86666666666667,2.5500000000000007
SBRJ,2021-02-28T00:00:00Z,20L,3,1,1,26.416666666666668,25.596666666666664,0.8200000000000038
SBRJ,2021-03-03T00:00:00Z,20L,1,4,4,115.5,91.41333333333336,24.08666666666665
SBRJ,2021-03-03T00:00:00Z,20L,2,10,10,230.83333333333331,209.33333333333334,21.500000000000004
SBRJ,2021-03-03T00:00:00Z,20L,3,5,5,133.05,115.92999999999999,17.120000000000008
SBRJ,2021-03-05T00:00:00Z,02R,1,4,4,126.75000000000001,103.63666666666667,23.11333333333334
SBRJ,2021-03-05T00:00:00Z,02R,2,16,16,374.95000000000005,343.93333333333334,31.01666666666667
SBRJ,2021-03-05T00:00:00Z,02R,3,5,5,124.21666666666667,115.75,8.466666666666676
SBRJ,2021-03-08T00:00:00Z,20L,1,3,3,77.38333333333333,68.56000000000002,8.823333333333316
SBRJ,2021-03-08T00:00:00Z,20L,2,12,12,261.45,251.20000000000002,10.250000000000004
SBRJ,2021-03-08T00:00:00Z,20L,3,5,5,125.94999999999999,113.00999999999999,12.940000000000005
SBRJ,2021-03-09T00:00:00Z,02R,1,1,1,30.433333333333334,23.516666666666666,6.916666666666668
SBRJ,2021-03-09T00:00:00Z,02R,2,1,1,23.833333333333332,21.433333333333334,2.3999999999999986
SBRJ,2021-03-09T00:00:00Z,02R,3,1,1,27.433333333333334,23.15,4.283333333333335
SBRJ,2021-03-09T00:00:00Z,20L,1,11,11,263.78333333333336,251.38666666666677,12.396666666666604
SBRJ,2021-03-09T00:00:00Z,20L,2,27,27,592.9333333333333,565.1999999999999,27.73333333333333
SBRJ,2021-03-09T00:00:00Z,20L,3,17,17,407.7833333333333,390.0366666666666,17.746666666666684
SBRJ,2021-03-10T00:00:00Z,02C,1,1,1,81.9,81.9,0
SBRJ,2021-03-10T00:00:00Z,02L,1,1,1,25,25,0
SBRJ,2021-03-10T00:00:00Z,02L,2,2,2,44.21666666666667,43.56666666666667,0.649999999999995
