ADES,DATE,RWY,C100_SECT,N,N_VALID,A100,REF_20,ADD_TIME
SBSP,2021-02-28T00:00:00Z,17R,1,2,2,46.05,45.96666666666667,0.0833333333333286
SBSP,2021-02-28T00:00:00Z,17R,2,1,1,23.15,26.283333333333335,-3.1333333333333364
SBSP,2021-02-28T00:00:00Z,17R,3,2,2,48.766666666666666,46.63333333333333,2.133333333333333
SBSP,2021-03-03T00:00:00Z,17L,1,1,1,20.783333333333335,21.033333333333335,-0.25
SBSP,2021-03-03T00:00:00Z,17L,3,1,1,28.366666666666667,25.55,2.8166666666666664
SBSP,2021-03-03T00:00:00Z,17R,1,7,7,176.66666666666666,166.05,10.616666666666664
SBSP,2021-03-03T00:00:00Z,17R,2,3,3,80.63333333333333,78.85000000000001,1.7833333333333279
SBSP,2021-03-03T00:00:00Z,17R,3,3,3,87.1,69.95,17.15
SBSP,2021-03-03T00:00:00Z,17R,4,1,1,19.55,20.066666666666666,-0.5166666666666657
SBSP,2021-03-03T00:00:00Z,35L,1,4,4,112.16666666666666,112.66666666666667,-0.5000000000000071
SBSP,2021-03-03T00:00:00Z,35L,2,2,2,48.9,45.233333333333334,3.6666666666666643
SBSP,2021-03-03T00:00:00Z,35L,3,4,4,96.21666666666667,85.26666666666667,10.950000000000003
SBSP,2021-03-03T00:00:00Z,35L,4,1,1,26.5,24.936666666666667,1.5633333333333326
SBSP,2021-03-05T00:00:00Z,35L,1,11,11,349.3333333333333,314.06666666666666,35.26666666666666
SBSP,2021-03-05T00:00:00Z,35L,2,12,12,322.84999999999997,276.41,46.43999999999998
SBSP,2021-03-05T00:00:00Z,35L,3,4,4,95.75,85.26666666666667,10.483333333333338
SBSP,2021-03-05T00:00:00Z,35L,4,5,5,141.7,129.83666666666667,11.863333333333323
SBSP,2021-03-05T00:00:00Z,35R,1,1,1,36.766666666666666,30.63,6.136666666666667
SBSP,2021-03-05T00:00:00Z,35R,3,1,1,20.416666666666668,19.663333333333334,0.7533333333333339
SBSP,2021-03-08T00:00:00Z,17L,1,2,2,55.7,46.876666666666665,8.823333333333334
SBSP,2021-03-08T00:00:00Z,17R,1,12,12,304.8666666666667,278.38333333333344,26.483333333333324
SBSP,2021-03-08T00:00:00Z,17R,2,8,8,375.70000000000005,212.06333333333333,163.63666666666668
SBSP,2021-03-08T00:00:00Z,17R,3,6,6,149.91666666666666,141.25666666666666,8.660000000000004
SBSP,2021-03-09T00:00:00Z,17L,1,1,1,22.5,21.033333333333335,1.466666666666665
SBSP,2021-03-09T00:00:00Z,17L,4,2,2,46.11666666666667,42.05333333333333,4.063333333333336
SBSP,2021-03-09T00:00:00Z,17R,1,22,22,540.8166666666666,508.21666666666687,32.59999999999997
SBSP,2021-03-09T00:00:00Z,17R,2,10,10,282.1,266.4266666666667,15.673333333333321
SBSP,2021-03-09T00:00:00Z,17R,3,12,12,305.61666666666673,283.86999999999995,21.746666666666673
SBSP,2021-03-09T00:00:00Z,17R,4,7,7,156.73333333333332,149.13333333333333,7.600000000000001
SBSP,2021-03-09T00:00:00Z,35L,1,15,15,429.80000000000007,422.50000000000006,7.299999999999983
SBSP,2021-03-09T00:00:00Z,35L,2,10,10,230.64999999999995,227.83666666666673,2.813333333333322
SBSP,2021-03-09T00:00:00Z,35L,3,5,5,106.41666666666667,106.58333333333333,-0.16666666666666075
SBSP,2021-03-09T00:00:00Z,35L,4,3,3,83.45,74.81,8.639999999999997
SBSP,2021-03-09T00:00:00Z,35R,1,2,2,77.05,61.26,15.790000000000003
SBSP,2021-03-09T00:00:00Z,35R,4,3,3,96.36666666666667,85.12,11.246666666666663
SBSP,2021-03-10T00:00:00Z,17L,1,4,4,118.99999999999999,93.75333333333333,25.24666666666666
SBSP,2021-03-10T00:00:00Z,17L,3,2,2,51,51.1,-0.10000000000000142
SBSP,2021-03-10T00:00:00Z,17L,4,1,1,37.6,22.936666666666664,14.663333333333338
SBSP,2021-03-10T00:00:00Z,17P,2,1,1,44.516666666666666,41.60333333333333,2.913333333333334
SBSP,2021-03-10T00:00:00Z,17R,1,31,31,712.9833333333332,720.2333333333336,-7.250000000000021
SBSP,2021-03-10T00:00:00Z,17R,2,17,17,457.7666666666667,450.41000000000014,7.356666666666648
SBSP,2021-03-10T00:00:00Z,17R,3,21,21,515.5333333333333,492.3633333333333,23.17000000000001
SBSP,2021-03-10T00:00:00Z,17R,4,9,9,189.41666666666669,187.1,2.3166666666666664
