ADES,DATE,RWY,C100_SECT,N,N_VALID,A100,REF_20,ADD_TIME
SBSV,2021-02-28T00:00:00Z,10,4,6,6,139.56666666666666,123.9,15.666666666666675
SBSV,2021-03-03T00:00:00Z,10,2,1,1,26.666666666666668,23.733333333333334,2.9333333333333336
SBSV,2021-03-03T00:00:00Z,10,4,9,9,207.29999999999998,185.85000000000002,21.45000000000001
SBSV,2021-03-05T00:00:00Z,10,1,1,1,29.783333333333335,22.316666666666666,7.466666666666669
SBSV,2021-03-05T00:00:00Z,10,2,5,5,142.48333333333335,118.66666666666667,23.816666666666663
SBSV,2021-03-05T00:00:00Z,10,4,21,21,486.91666666666663,433.64999999999986,53.26666666666671
SBSV,2021-03-05T00:00:00Z,17,2,1,1,31.466666666666665,27.85,3.6166666666666636
SBSV,2021-03-08T00:00:00Z,10,1,1,1,21.783333333333335,22.316666666666666,-0.5333333333333314
SBSV,2021-03-08T00:00:00Z,10,4,6,6,127.93333333333334,123.9,4.0333333333333385
SBSV,2021-03-08T00:00:00Z,17,4,2,2,50.666666666666664,51.833333333333336,-1.1666666666666714
SBSV,2021-03-09T00:00:00Z,10,1,3,3,76.5,66.95,9.550000000000004
SBSV,2021-03-09T00:00:00Z,10,2,7,7,186.81666666666666,166.13333333333333,20.683333333333323
SBSV,2021-03-09T00:00:00Z,10,4,30,30,675.0833333333333,622.893333333333,52.19000000000005
SBSV,2021-03-09T00:00:00Z,17,1,3,3,82.55000000000001,81.11000000000001,1.4399999999999942
SBSV,2021-03-09T00:00:00Z,17,4,4,4,106.78333333333333,98.23333333333335,8.549999999999997
SBSV,2021-03-10T00:00:00Z,10,1,4,4,93.91666666666666,89.26666666666667,4.649999999999999
SBSV,2021-03-10T00:00:00Z,10,2,10,10,286.3,247.58333333333343,38.716666666666654
SBSV,2021-03-10T00:00:00Z,10,4,45,45,1033.1333333333334,936.3433333333327,96.79000000000006
SBSV,2021-03-10T00:00:00Z,17,1,1,1,29,27.03666666666667,1.9633333333333312
SBSV,2021-03-10T00:00:00Z,17,2,3,3,97.65,83.55000000000001,14.099999999999998
SBSV,2021-03-10T00:00:00Z,17,4,3,3,91.11666666666667,77.75,13.366666666666667
SBSV,2021-03-11T00:00:00Z,10,1,3,3,72.16666666666667,66.95,5.216666666666669
SBSV,2021-03-11T00:00:00Z,10,2,10,10,283.3833333333333,247.58333333333343,35.8
SBSV,2021-03-11T00:00:00Z,10,4,48,48,1094.4499999999998,994.746666666666,99.7033333333334
SBSV,2021-03-11T00:00:00Z,17,1,1,1,37.35,27.03666666666667,10.313333333333333
SBSV,2021-03-11T00:00:00Z,17,2,1,1,28.366666666666667,27.85,0.5166666666666657
SBSV,2021-03-11T00:00:00Z,17,4,3,3,74.86666666666667,77.75,-2.88333333333334
SBSV,2021-03-12T00:00:00Z,10,1,3,3,75.3,66.95,8.350000000000001
SBSV,2021-03-12T00:00:00Z,10,2,12,12,351.08333333333337,295.0500000000001,56.0333333333333
SBSV,2021-03-12T00:00:00Z,10,4,53,53,1221.8,1101.5433333333328,120.25666666666675
