ICAO,YEAR,N,PLI,BLI
SBBR,2019,8432,0.004862428842504744,0.7185721062618596
SBBR,2020,7876,0,0.26244286439817166
SBBR,2021,8251,0,0.3535329051024118
SBBR,2022,8348,0,0.44525634882606613
SBBR,2023,4918,0,0.5085400569337128
SBCF,2019,8166,4.898359049718344e-4,0.7937790840068577
SBCF,2020,6968,0,0.36552812858783007
SBCF,2021,8117,0,0.5481089072317359
SBCF,2022,8184,0,0.7454789833822092
SBCF,2023,4736,0,0.7850506756756757
SBCT,2019,8021,0,0.7380625857125047
SBCT,2020,6606,0,0.2358462004238571
SBCT,2021,7485,0,0.24595858383433533
SBCT,2022,7615,0,0.5889691398555482
SBCT,2023,4371,0,0.6334934797529169
SBGL,2019,8668,0,0.5824873096446701
SBGL,2020,7432,0,0.16321313240043056
SBGL,2021,8321,0,0.04759043384208629
SBGL,2022,8622,0,0.046392948271862675
SBGL,2023,4989,0,0.058528763279214274
SBGR,2019,8759,0.16748487270236329,0.919168854892111
SBGR,2020,8664,0.046398891966759004,0.5678670360110804
SBGR,2021,8747,0.012118440608208528,0.7802675202926718
SBGR,2022,8754,0.023303632625085675,0.905643134567055
SBGR,2023,5088,0.03380503144654088,0.9221698113207547
SBKP,2019,8112,0.005424063116370809,0.8425788954635108
SBKP,2020,7793,1.2832028743744385e-4,0.5524188374181959
SBKP,2021,8112,4.930966469428008e-4,0.7250986193293886
SBKP,2022,7994,0.0066299724793595196,0.8193645233925444
SBKP,2023,4574,0.0028421512898994315,0.839965019676432
SBPA,2019,7678,1.3024225058609013e-4,0.8334201615003908
SBPA,2020,6449,0,0.2991161420375252
SBPA,2021,7455,0,0.37464788732394366
SBPA,2022,7765,0,0.6056664520283322
SBPA,2023,4590,0,0.6586056644880174
SBRJ,2019,6150,0.09008130081300814,0.9247154471544715
SBRJ,2020,5941,0.043427032486113445,0.6211075576502272
SBRJ,2021,6206,0.008862391234289398,0.9139542378343538
SBRJ,2022,6223,0.16905029728426804,0.9865016872890888
SBRJ,2023,3618,0.37921503593145384,0.988391376451078
SBSP,2019,6367,0.7029998429401602,0.9564944243756871
SBSP,2020,6442,0.1443651040049674,0.5922073890096243
SBSP,2021,6560,0.0375,0.8725609756097561
SBSP,2022,6403,0.36967046696860845,0.9584569732937686
SBSP,2023,3724,0.6535982814178303,0.956766917293233
SBSV,2019,8713,0.0012624813497073338,0.6594743486743946
SBSV,2020,7856,5.091649694501018e-4,0.3455957230142566
SBSV,2021,8576,0.0025652985074626866,0.4418143656716418
SBSV,2022,8604,0.0017433751743375174,0.5319618781961878
SBSV,2023,5032,9.936406995230524e-4,0.4980127186009539
