ADES,CLASS,RWY,C100_SECT,N,N_VALID,REF_20
SBBR,H,06L,1,2,2,24.75
SBBR,H,06L,3,3,3,66.73333333333333
SBBR,H,11L,1,106,106,23.1
SBBR,H,11L,2,11,11,24.216666666666665
SBBR,H,11L,3,14,14,22.273333333333333
SBBR,H,11L,4,3,3,19.93333333333333
SBBR,H,11R,1,13,13,24.263333333333335
SBBR,H,11R,2,1,1,26.716666666666665
SBBR,H,11R,3,2,2,22.516666666666666
SBBR,H,11R,4,1,1,19.35
SBBR,H,29L,1,17,17,21.05
SBBR,H,29L,2,2,2,21.296666666666667
SBBR,H,29L,3,1,1,21.8
SBBR,H,29L,4,1,1,24.066666666666666
SBBR,H,29R,1,14,14,20.23
SBBR,H,29R,2,1,1,34.233333333333334
SBBR,H,29R,3,1,1,26.033333333333335
SBBR,L,04,3,4,4,37.88333333333333
SBBR,L,06L,3,7,7,42.75
SBBR,L,06L,4,1,1,93.65
SBBR,L,07,1,1,1,127.7
SBBR,L,11L,1,938,938,27.023333333333333
SBBR,L,11L,2,453,453,26.653333333333332
SBBR,L,11L,3,985,985,23.233333333333334
SBBR,L,11L,4,233,233,22.393333333333334
SBBR,L,11R,1,120,120,27.683333333333334
SBBR,L,11R,2,116,116,27.55
SBBR,L,11R,3,243,243,24.10666666666667
SBBR,L,11R,4,66,66,24.833333333333332
SBBR,L,14,1,22,22,83.77333333333333
SBBR,L,14,3,3,3,17.78
SBBR,L,14,4,27,27,9.506666666666666
SBBR,L,22,3,4,4,41.15
SBBR,L,29L,1,67,67,26.19666666666667
SBBR,L,29L,2,44,44,23.346666666666668
SBBR,L,29L,3,82,82,27.880000000000003
SBBR,L,29L,4,23,23,31.119999999999997
SBBR,L,29R,1,145,145,25.676666666666666
SBBR,L,29R,2,66,66,21.7
SBBR,L,29R,3,159,159,25.523333333333333
SBBR,L,29R,4,34,34,30.076666666666664
SBBR,L,32,1,10,10,66.41666666666667
SBBR,L,32,2,3,3,8.983333333333333
SBBR,L,32,3,4,4,11.226666666666667
SBBR,L,32,4,6,6,14.416666666666666
SBBR,M,06L,1,2,2,24.216666666666665
SBBR,M,06L,2,4,4,40.61666666666667
SBBR,M,06L,3,6,6,13
SBBR,M,06L,4,11,11,23.416666666666668
SBBR,M,08,3,2,2,91.06333333333333
SBBR,M,11L,1,10916,10916,21.666666666666668
SBBR,M,11L,2,2616,2616,23.316666666666666
SBBR,M,11L,3,4270,4270,20.7
SBBR,M,11L,4,376,376,19.65
SBBR,M,11R,1,935,935,22.25
SBBR,M,11R,2,3283,3283,24.083333333333332
SBBR,M,11R,3,6008,6008,21.116666666666667
SBBR,M,11R,4,792,792,19.503333333333334
SBBR,M,14,3,1,1,176.01666666666668
SBBR,M,14,4,9,9,5.6
SBBR,M,18,3,4,4,37.336666666666666
SBBR,M,22,3,1,1,30.7
SBBR,M,29L,1,676,676,21.1
SBBR,M,29L,2,949,949,20.55
SBBR,M,29L,3,1574,1574,22.566666666666666
SBBR,M,29L,4,145,145,25.43
SBBR,M,29R,1,2002,2002,20.9
SBBR,M,29R,2,317,317,20.27
SBBR,M,29R,3,504,504,21.96
SBBR,M,29R,4,37,37,23.96
SBBR,M,32,1,1,1,35.03333333333333
SBBR,M,32,2,3,3,29.35
SBBR,M,32,3,5,5,14.133333333333333
SBBR,M,32,4,1,1,20.683333333333334
