ADES,CLASS,RWY,C100_SECT,N,N_VALID,REF_20
SBCT,H,15,1,74,74,22.033333333333335
SBCT,H,15,4,80,80,19.85
SBCT,H,33,1,18,18,21.833333333333332
SBCT,H,33,4,35,35,22.183333333333334
SBCT,L,11,1,2,2,79.77000000000001
SBCT,L,11,3,1,1,35.583333333333336
SBCT,L,15,1,338,338,24.57333333333333
SBCT,L,15,2,61,61,26.533333333333335
SBCT,L,15,3,228,228,23.07
SBCT,L,15,4,108,108,21.803333333333335
SBCT,L,29,1,4,4,25.41
SBCT,L,33,1,117,117,23.006666666666668
SBCT,L,33,2,30,30,24.13
SBCT,L,33,3,83,83,23.6
SBCT,L,33,4,50,50,25.05
SBCT,M,11,1,2,2,59.499999999999986
SBCT,M,14,1,1,1,62.016666666666666
SBCT,M,15,1,6304,6304,22.816666666666666
SBCT,M,15,2,206,206,23.016666666666666
SBCT,M,15,3,1318,1318,19.95
SBCT,M,15,4,872,872,19.97
SBCT,M,18,1,1,1,21.85
SBCT,M,25,1,1,1,61.233333333333334
SBCT,M,29,1,10,10,18.71
SBCT,M,33,1,1993,1993,22.183333333333334
SBCT,M,33,2,38,38,20.27
SBCT,M,33,3,422,422,20.233333333333334
SBCT,M,33,4,220,220,23.913333333333334
