ADES,CLASS,RWY,C100_SECT,N,N_VALID,REF_20
SBGL,H,10,1,17,17,20.73
SBGL,H,15,1,1123,1123,20.3
SBGL,H,15,2,2,2,55.853333333333325
SBGL,H,15,3,24,24,22.439999999999998
SBGL,H,15,4,33,33,20.416666666666668
SBGL,H,28,1,4,4,22.25
SBGL,H,33,1,39,39,22.973333333333336
SBGL,H,33,3,1,1,34.86666666666667
SBGL,H,33,4,3,3,25.473333333333333
SBGL,L,07,1,3,3,75.75
SBGL,L,10,1,11,11,29.833333333333332
SBGL,L,10,2,1,1,121.31666666666666
SBGL,L,10,3,2,2,27.643333333333334
SBGL,L,10,4,8,8,20.833333333333332
SBGL,L,15,1,352,352,29.156666666666666
SBGL,L,15,2,7,7,115.19666666666667
SBGL,L,15,3,61,61,24.15
SBGL,L,15,4,351,351,22.3
SBGL,L,21,4,1,1,38.81666666666667
SBGL,L,23,1,1,1,165.81666666666666
SBGL,L,23,4,1,1,54.93333333333333
SBGL,L,25,1,2,2,36.75
SBGL,L,28,1,6,6,42.766666666666666
SBGL,L,28,3,1,1,44.13333333333333
SBGL,L,28,4,1,1,39.4
SBGL,L,33,1,22,22,37.11
SBGL,L,33,3,8,8,29.383333333333333
SBGL,L,33,4,16,16,37.05
SBGL,M,02,1,1,1,102.11666666666666
SBGL,M,10,1,147,147,22.406666666666666
SBGL,M,10,2,2,2,61.89
SBGL,M,10,3,29,29,21.32
SBGL,M,10,4,105,105,20.033333333333335
SBGL,M,13,1,3,3,29.783333333333335
SBGL,M,15,1,5958,5958,21.833333333333332
SBGL,M,15,2,2,2,34.93
SBGL,M,15,3,1241,1241,22.433333333333334
SBGL,M,15,4,4380,4380,20.466666666666665
SBGL,M,16,4,9,9,17.766666666666666
SBGL,M,24,1,1,1,50.45
SBGL,M,26,1,1,1,26.7
SBGL,M,28,1,44,44,23.15
SBGL,M,28,3,8,8,29.766666666666666
SBGL,M,28,4,32,32,24.313333333333333
SBGL,M,33,1,281,281,24.383333333333333
SBGL,M,33,2,1,1,25.033333333333335
SBGL,M,33,3,71,71,28.433333333333334
SBGL,M,33,4,204,204,24.756666666666668
