ADES,CLASS,RWY,C100_SECT,N,N_VALID,REF_20
SBKP,H,15,1,191,191,24.266666666666666
SBKP,H,15,2,492,492,20.87
SBKP,H,15,3,1435,1435,18.966666666666665
SBKP,H,33,1,49,49,22.56
SBKP,H,33,2,95,95,21.96333333333333
SBKP,H,33,3,317,317,22.023333333333333
SBKP,L,07,2,1,1,161.4
SBKP,L,12,3,3,3,68.16666666666666
SBKP,L,15,1,31,31,28.366666666666667
SBKP,L,15,2,75,75,25.093333333333334
SBKP,L,15,3,430,430,25.076666666666668
SBKP,L,30,3,8,8,62.81666666666668
SBKP,L,31,3,3,3,93.76666666666665
SBKP,L,33,1,5,5,23.646666666666665
SBKP,L,33,2,24,24,25.843333333333334
SBKP,L,33,3,180,180,30.319999999999997
SBKP,M,02,1,1,1,118.18333333333334
SBKP,M,14,3,10,10,1.47
SBKP,M,15,1,3721,3721,26.166666666666668
SBKP,M,15,2,6389,6389,21.833333333333332
SBKP,M,15,3,8815,8815,19.880000000000003
SBKP,M,32,3,6,6,0.23333333333333334
SBKP,M,33,1,1109,1109,24
SBKP,M,33,2,2107,2107,21.866666666666667
SBKP,M,33,3,2259,2259,23.89333333333333
