ADES,CLASS,RWY,C100_SECT,N,N_VALID,REF_20
SBPA,H,11,1,42,42,22.503333333333334
SBPA,H,11,3,5,5,19.55
SBPA,H,11,4,16,16,20.566666666666666
SBPA,H,29,1,22,22,21.773333333333333
SBPA,H,29,3,3,3,21.629999999999995
SBPA,H,29,4,8,8,23.046666666666667
SBPA,L,06,1,2,2,47.89333333333333
SBPA,L,11,1,576,576,26.266666666666666
SBPA,L,11,2,1,1,35.666666666666664
SBPA,L,11,3,175,175,25.843333333333334
SBPA,L,11,4,523,523,26.056666666666665
SBPA,L,11P,3,1,1,25.716666666666665
SBPA,L,11P,4,1,1,18.95
SBPA,L,13,4,1,1,44.56666666666667
SBPA,L,24,1,1,1,86.03333333333333
SBPA,L,29,1,305,305,25.663333333333334
SBPA,L,29,3,73,73,28.26
SBPA,L,29,4,207,207,29.616666666666667
SBPA,M,11,1,9988,9988,23.05
SBPA,M,11,2,2,2,35.776666666666664
SBPA,M,11,3,215,215,20.22
SBPA,M,11,4,650,650,21.630000000000003
SBPA,M,11P,1,3,3,24.380000000000003
SBPA,M,13,4,1,1,25.716666666666665
SBPA,M,29,1,3649,3649,21.883333333333333
SBPA,M,29,2,3,3,23.246666666666666
SBPA,M,29,3,84,84,21.990000000000002
SBPA,M,29,4,284,284,25.003333333333334
SBPA,M,31,4,1,1,100.61666666666666
