ADES,CLASS,RWY,C100_SECT,N,N_VALID,REF_20
SBRJ,H,02R,1,1,1,23.733333333333334
SBRJ,H,02R,2,5,5,21.643333333333334
SBRJ,H,02R,3,5,5,24.686666666666667
SBRJ,H,20L,1,3,3,24.543333333333337
SBRJ,H,20L,2,11,11,22.1
SBRJ,H,20L,3,14,14,22.676666666666666
SBRJ,L,02L,1,1,1,25
SBRJ,L,02L,2,2,2,37.376666666666665
SBRJ,L,02L,3,5,5,29.883333333333336
SBRJ,L,02R,1,50,50,33.086666666666666
SBRJ,L,02R,2,256,256,21.933333333333334
SBRJ,L,02R,3,184,184,25.740000000000002
SBRJ,L,08,3,1,1,52.983333333333334
SBRJ,L,15,2,1,1,29.1
SBRJ,L,15,3,1,1,48.9
SBRJ,L,16,2,15,15,31.03
SBRJ,L,20,1,2,2,45.7
SBRJ,L,20L,1,110,110,27.410000000000004
SBRJ,L,20L,2,661,661,22.016666666666666
SBRJ,L,20L,3,443,443,25.596666666666664
SBRJ,L,20R,1,2,2,51.20333333333334
SBRJ,L,20R,2,8,8,37.49666666666667
SBRJ,L,20R,3,2,2,35.589999999999996
SBRJ,L,23,3,4,4,109.08333333333334
SBRJ,L,24,1,1,1,42.416666666666664
SBRJ,L,26,3,1,1,47.86666666666667
SBRJ,M,02C,1,1,1,81.9
SBRJ,M,02L,1,2,2,23.833333333333332
SBRJ,M,02L,2,6,6,21.783333333333335
SBRJ,M,02L,3,3,3,27.799999999999997
SBRJ,M,02R,1,985,985,23.516666666666666
SBRJ,M,02R,2,4560,4560,21.433333333333334
SBRJ,M,02R,3,1835,1835,23.15
SBRJ,M,06L,3,4,4,82.06666666666666
SBRJ,M,08,1,1,1,63.5
SBRJ,M,15,2,1,1,57.13333333333333
SBRJ,M,16,2,2,2,52.343333333333334
SBRJ,M,20L,1,2812,2812,22.85333333333334
SBRJ,M,20L,2,10780,10780,20.933333333333334
SBRJ,M,20L,3,4512,4512,22.583333333333332
SBRJ,M,20R,1,2,2,21.68333333333333
SBRJ,M,20R,2,2,2,21.44
SBRJ,M,23,1,1,1,179.96666666666667
SBRJ,M,25,1,1,1,13.883333333333333
