ADES,CLASS,RWY,C100_SECT,N,N_VALID,REF_20
SBSP,H,17R,1,4,4,23.736666666666665
SBSP,H,17R,2,3,3,26.733333333333334
SBSP,H,17R,3,1,1,28.466666666666665
SBSP,H,17R,4,4,4,19.936666666666667
SBSP,H,35L,1,1,1,28.183333333333334
SBSP,H,35L,2,2,2,29.43
SBSP,L,09,1,2,2,6.31
SBSP,L,14,3,1,1,35.03333333333333
SBSP,L,15,4,2,2,78.37
SBSP,L,16,1,3,3,18.733333333333334
SBSP,L,16,2,2,2,21.98
SBSP,L,17L,1,324,324,25.843333333333334
SBSP,L,17L,2,145,145,31.400000000000002
SBSP,L,17L,3,180,180,25.55
SBSP,L,17L,4,387,387,22.936666666666664
SBSP,L,17P,2,32,32,41.60333333333333
SBSP,L,17P,3,1,1,45.266666666666666
SBSP,L,17P,4,5,5,48.88333333333333
SBSP,L,17R,1,1411,1411,25.566666666666666
SBSP,L,17R,2,745,745,28.08
SBSP,L,17R,3,1078,1078,24.673333333333332
SBSP,L,17R,4,1535,1535,22.233333333333334
SBSP,L,18,4,1,1,8.466666666666667
SBSP,L,35L,1,501,501,30.283333333333335
SBSP,L,35L,2,322,322,24.28666666666667
SBSP,L,35L,3,383,383,22.956666666666667
SBSP,L,35L,4,608,608,27.513333333333335
SBSP,L,35P,2,13,13,42.016666666666666
SBSP,L,35P,4,2,2,44.86333333333334
SBSP,L,35R,1,113,113,30.63
SBSP,L,35R,2,65,65,26.27
SBSP,L,35R,3,70,70,23.6
SBSP,L,35R,4,167,167,28.373333333333335
SBSP,M,07,2,3,3,49.416666666666664
SBSP,M,08,2,4,4,99.59666666666666
SBSP,M,17L,1,221,221,21.033333333333335
SBSP,M,17L,2,59,59,24.666666666666668
SBSP,M,17L,3,84,84,21.32
SBSP,M,17L,4,118,118,19.116666666666667
SBSP,M,17P,1,1,1,19.083333333333332
SBSP,M,17R,1,11710,11710,22.983333333333334
SBSP,M,17R,2,6297,6297,26.283333333333335
SBSP,M,17R,3,6131,6131,23.316666666666666
SBSP,M,17R,4,2257,2257,20.066666666666666
SBSP,M,35,4,3,3,17.35333333333333
SBSP,M,35L,1,3893,3893,28.166666666666668
SBSP,M,35L,2,2131,2131,22.616666666666667
SBSP,M,35L,3,2231,2231,21.316666666666666
SBSP,M,35L,4,739,739,24.936666666666667
SBSP,M,35P,1,1,1,27.716666666666665
SBSP,M,35P,3,1,1,18.116666666666667
SBSP,M,35R,1,77,77,26.336666666666666
SBSP,M,35R,2,32,32,20.66
SBSP,M,35R,3,33,33,19.663333333333334
SBSP,M,35R,4,32,32,22.863333333333333
