DATE,ARRS,DEPS
2019-01-01,2004,2064
2019-01-02,2870,2913
2019-01-03,2907,2946
2019-01-04,2861,2869
2019-01-05,2485,2481
2019-01-06,2380,2403
2019-01-07,2731,2748
2019-01-08,2833,2863
2019-01-09,2899,2966
2019-01-10,2943,2935
2019-01-11,2899,2944
2019-01-12,2511,2505
2019-01-13,2395,2376
2019-01-14,2819,2862
2019-01-15,2974,3018
2019-01-16,2915,2935
2019-01-17,2964,3006
2019-01-18,2957,2999
2019-01-19,2547,2526
2019-01-20,2399,2381
2019-01-21,2856,2912
2019-01-22,3009,3079
2019-01-23,2960,3080
2019-01-24,3063,3141
2019-01-25,2909,2976
2019-01-26,2534,2545
2019-01-27,2521,2506
2019-01-28,2926,3004
2019-01-29,2943,3061
2019-01-30,2982,3078
2019-01-31,2983,3073
2019-02-01,2989,3074
2019-02-02,2418,2448
2019-02-03,2336,2311
2019-02-04,2730,2823
2019-02-05,2824,2871
2019-02-06,2766,2834
2019-02-07,2934,2942
2019-02-08,2888,2962
2019-02-09,2395,2391
2019-02-10,2200,2191
2019-02-11,2821,2919
2019-02-12,2833,2898
2019-02-13,2804,2852
2019-02-14,2931,3059
2019-02-15,2770,2807
2019-02-16,2276,2221
2019-02-17,1961,2008
2019-02-18,2802,2881
2019-02-19,2904,2964
2019-02-20,2845,2962
2019-02-21,2958,3055
2019-02-22,2884,3003
2019-02-23,2483,2403
2019-02-24,2141,2185
2019-02-25,2722,2804
2019-02-26,2764,2821
2019-02-27,2924,3035
2019-02-28,2948,2945
2019-03-01,3043,3080
2019-03-02,2676,2636
2019-03-03,1682,1698
2019-03-04,1676,1721
2019-03-05,1968,2008
2019-03-06,2860,2858
2019-03-07,2838,2913
2019-03-08,2727,2824
2019-03-09,2386,2357
2019-03-10,2216,2300
2019-03-11,2791,2882
2019-03-12,2813,2944
2019-03-13,2913,2991
2019-03-14,2955,3017
2019-03-15,2926,3049
2019-03-16,2423,2377
2019-03-17,2071,2108
2019-03-18,2790,2867
2019-03-19,2863,2930
2019-03-20,2861,2967
2019-03-21,2834,2909
2019-03-22,2868,3015
2019-03-23,2488,2419
2019-03-24,2165,2227
2019-03-25,2831,2934
2019-03-26,2927,3023
2019-03-27,2915,3018
2019-03-28,2893,3038
2019-03-29,2960,3050
2019-03-30,2487,2436
2019-03-31,2107,2140
2019-04-01,2743,2850
2019-04-02,2801,2926
2019-04-03,2862,2994
2019-04-04,2901,3063
2019-04-05,2855,2941
2019-04-06,2292,2210
2019-04-07,1949,2029
2019-04-08,2686,2682
2019-04-09,2703,2754
2019-04-10,2915,3046
2019-04-11,2856,3005
2019-04-12,2989,3097
2019-04-13,2401,2368
2019-04-14,1994,2059
2019-04-15,2796,2863
2019-04-16,2753,2856
2019-04-17,2895,2979
2019-04-18,2962,3013
2019-04-19,2327,2312
2019-04-20,1541,1552
2019-04-21,2174,2193
2019-04-22,2884,3011
2019-04-23,2772,2872
2019-04-24,2729,2874
2019-04-25,2685,2835
2019-04-26,2827,2905
2019-04-27,2241,2219
2019-04-28,1798,1874
2019-04-29,2672,2739
2019-04-30,2694,2793
2019-05-01,2083,2210
2019-05-02,2466,2647
2019-05-03,2778,2853
2019-05-04,2215,2169
2019-05-05,2002,2080
2019-05-06,2678,2783
2019-05-07,2630,2733
2019-05-08,2666,2793
2019-05-09,2771,2924
2019-05-10,2795,2889
2019-05-11,2160,2123
2019-05-12,1839,1880
2019-05-13,2506,2492
2019-05-14,2562,2681
2019-05-15,2512,2699
2019-05-16,2675,2822
2019-05-17,2680,2661
2019-05-18,2093,2056
2019-05-19,1869,1922
2019-05-20,2534,2654
2019-05-21,2643,2743
2019-05-22,2682,2776
2019-05-23,2700,2835
2019-05-24,2724,2826
2019-05-25,2237,2206
2019-05-26,1980,2047
2019-05-27,2665,2764
2019-05-28,2580,2699
2019-05-29,2651,2774
2019-05-30,2602,2737
2019-05-31,2712,2801
2019-06-01,2109,2082
2019-06-02,1837,1894
2019-06-03,2550,2567
2019-06-04,2658,2771
2019-06-05,2719,2848
2019-06-06,2799,2927
2019-06-07,2854,2994
2019-06-08,2276,2231
2019-06-09,2038,2094
2019-06-10,2658,2779
2019-06-11,2626,2715
2019-06-12,2707,2828
2019-06-13,2760,2895
2019-06-14,2902,2999
2019-06-15,2272,2215
2019-06-16,2013,2070
2019-06-17,2689,2766
2019-06-18,2793,2924
2019-06-19,2943,3024
2019-06-20,2560,2562
2019-06-21,1786,1779
2019-06-22,1649,1671
2019-06-23,2192,2213
2019-06-24,2786,2844
2019-06-25,2705,2825
2019-06-26,2702,2824
2019-06-27,2859,2987
2019-06-28,2928,3090
2019-06-29,2327,2275
2019-06-30,2041,2111
2019-07-01,2837,2931
2019-07-02,2796,2911
2019-07-03,2831,2986
2019-07-04,2763,2887
2019-07-05,2807,2858
2019-07-06,2465,2438
2019-07-07,2136,2186
2019-07-08,2823,2841
2019-07-09,2842,2841
2019-07-10,2863,2841
2019-07-11,2901,2917
2019-07-12,2962,3000
2019-07-13,2430,2423
2019-07-14,2184,2210
2019-07-15,2763,2868
2019-07-16,2809,2915
2019-07-17,2906,3031
2019-07-18,2952,3070
2019-07-19,2941,3007
2019-07-20,2431,2409
2019-07-21,2239,2279
2019-07-22,2761,2846
2019-07-23,2843,2924
2019-07-24,2917,3038
2019-07-25,2863,2956
2019-07-26,2928,3031
2019-07-27,2461,2429
2019-07-28,2226,2250
2019-07-29,2815,2888
2019-07-30,2924,3003
2019-07-31,2924,3073
