APT,PHASE,DATE,MVTS,ADD_TIME,AVG_ADD_TIME
SBRJ,TXOT,2019-04-30,126,602.92,4.785079365079365
SBGR,TXOT,2019-04-30,301,1189.97,3.953388704318937
SBBR,TXOT,2019-04-30,169,622.8199999999999,3.685325443786982
SBSP,TXOT,2019-05-01,177,345.02,1.9492655367231637
SBPA,TXOT,2019-04-30,84,411.0900000000001,4.893928571428573
SBCT,TXOT,2019-04-30,83,395.68000000000006,4.767228915662652
SBGL,TXOT,2019-04-30,82,616.3000000000001,7.515853658536586
SBRJ,TXOT,2019-05-01,99,417.32999999999987,4.215454545454544
SBCF,TXOT,2019-05-01,92,304.65,3.3114130434782605
SBGR,TXOT,2019-05-01,272,1067.04,3.922941176470588
SBBR,TXOT,2019-05-01,149,430.5100000000001,2.8893288590604036
SBPA,TXOT,2019-05-01,62,233.34,3.7635483870967743
SBCT,TXOT,2019-05-01,64,228.08000000000004,3.5637500000000006
SBGL,TXOT,2019-05-01,89,719.8500000000004,8.088202247191015
SBKP,TXOT,2019-05-01,124,888.8700000000005,7.168306451612907
SBSV,TXOT,2019-05-01,49,218.87,4.466734693877551
SBPA,TXOT,2019-05-02,82,558.4100000000001,6.809878048780488
SBGR,TXOT,2019-05-02,303,1035.2899999999997,3.416798679867986
SBCF,TXOT,2019-05-02,125,594.8099999999997,4.758479999999998
SBRJ,TXOT,2019-05-02,118,647.9300000000001,5.490932203389831
SBSV,TXOT,2019-05-02,53,257.6600000000001,4.861509433962266
SBBR,TXOT,2019-05-02,155,688.62,4.442709677419355
SBSP,TXOT,2019-05-02,253,1702.1500000000003,6.727865612648222
SBGL,TXOT,2019-05-02,89,514.6299999999999,5.782359550561797
SBCT,TXOT,2019-05-02,78,314.3499999999999,4.030128205128204
SBKP,TXOT,2019-05-02,149,750.3499999999998,5.035906040268455
SBSP,TXOT,2019-05-03,256,1227.1900000000005,4.793710937500002
SBGR,TXOT,2019-05-03,314,961.7199999999998,3.0628025477707
SBBR,TXOT,2019-05-03,172,695.7499999999998,4.045058139534882
SBGL,TXOT,2019-05-03,86,701.87,8.161279069767442
SBKP,TXOT,2019-05-03,160,920.9900000000004,5.756187500000002
SBRJ,TXOT,2019-05-03,137,838.3200000000004,6.119124087591244
SBCF,TXOT,2019-05-03,134,592.3300000000004,4.420373134328361
SBCT,TXOT,2019-05-03,74,335.74999999999994,4.537162162162161
SBPA,TXOT,2019-05-03,84,366.2799999999999,4.36047619047619
SBSV,TXOT,2019-05-03,55,199.32000000000002,3.6240000000000006
SBCF,TXOT,2019-05-04,102,345.35999999999996,3.385882352941176
SBGR,TXOT,2019-05-04,287,852.6900000000007,2.97104529616725
SBKP,TXOT,2019-05-04,130,763.5899999999998,5.873769230769229
SBRJ,TXOT,2019-05-04,84,382.30999999999995,4.551309523809524
SBPA,TXOT,2019-05-04,64,307.11000000000007,4.798593750000001
SBSP,TXOT,2019-05-04,182,499.4799999999998,2.7443956043956033
SBBR,TXOT,2019-05-04,119,364.21,3.0605882352941176
SBGL,TXOT,2019-05-04,105,1143.0200000000002,10.885904761904763
SBSV,TXOT,2019-05-04,49,254.30999999999997,5.1899999999999995
SBCT,TXOT,2019-05-04,62,243.76000000000005,3.9316129032258074
SBKP,TXOT,2019-05-05,142,863.5599999999998,6.081408450704224
SBGL,TXOT,2019-05-05,91,484.25999999999993,5.321538461538461
SBGR,TXOT,2019-05-05,273,1011.9,3.7065934065934063
SBBR,TXOT,2019-05-05,115,307.04,2.669913043478261
SBCF,TXOT,2019-05-05,126,492.26000000000005,3.9068253968253974
SBRJ,TXOT,2019-05-05,99,431.62,4.35979797979798
SBSP,TXOT,2019-05-05,187,902.2099999999997,4.824652406417111
SBSV,TXOT,2019-05-05,54,254.01999999999995,4.704074074074073
SBCT,TXOT,2019-05-05,69,308.68999999999994,4.473768115942028
SBPA,TXOT,2019-05-05,70,337.47,4.821000000000001
SBPA,TXOT,2019-05-06,95,466.67,4.912315789473684
SBKP,TXOT,2019-05-06,163,920.0400000000002,5.644417177914112
SBRJ,TXOT,2019-05-06,143,720.6400000000001,5.0394405594405605
SBBR,TXOT,2019-05-06,175,664.9399999999999,3.7996571428571424
SBCF,TXOT,2019-05-06,137,605.1,4.416788321167884
SBSP,TXOT,2019-05-06,258,1694.5399999999995,6.567984496124029
SBGR,TXOT,2019-05-06,322,1377.1100000000008,4.276739130434785
SBSV,TXOT,2019-05-06,55,206.03,3.746
SBCT,TXOT,2019-05-06,83,312.65999999999997,3.7669879518072285
SBGL,TXOT,2019-05-06,99,1003.2900000000001,10.134242424242425
SBSP,TXOT,2019-05-07,251,1114.6099999999992,4.44067729083665
SBPA,TXOT,2019-05-07,88,381.80999999999995,4.338749999999999
SBCT,TXOT,2019-05-07,79,348.55,4.412025316455696
SBGR,TXOT,2019-05-07,315,1942.9600000000003,6.168126984126985
SBGL,TXOT,2019-05-07,94,774.1800000000002,8.235957446808513
SBCF,TXOT,2019-05-07,132,605.2299999999998,4.585075757575756
SBBR,TXOT,2019-05-07,166,649.36,3.911807228915663
SBKP,TXOT,2019-05-07,158,901.4199999999995,5.705189873417718
SBRJ,TXOT,2019-05-07,123,823.3299999999999,6.693739837398374
SBSV,TXOT,2019-05-07,55,205.51999999999995,3.736727272727272
SBSP,TXOT,2019-05-08,257,1184.6000000000004,4.60933852140078
SBRJ,TXOT,2019-05-08,135,551.2299999999998,4.083185185185184
SBGR,TXOT,2019-05-08,310,1289.49,4.159645161290323
SBBR,TXOT,2019-05-08,159,617.0099999999996,3.880566037735847
SBGL,TXOT,2019-05-08,96,1052.0399999999995,10.958749999999995
SBCF,TXOT,2019-05-08,130,549.5300000000001,4.227153846153847
SBPA,TXOT,2019-05-08,89,496.43999999999977,5.577977528089885
SBCT,TXOT,2019-05-08,83,297.4799999999999,3.5840963855421677
SBKP,TXOT,2019-05-08,162,942.4700000000001,5.817716049382717
SBSV,TXOT,2019-05-08,59,259.9799999999999,4.4064406779661
SBKP,TXOT,2019-05-09,161,971.7699999999996,6.035838509316768
SBPA,TXOT,2019-05-09,88,349.58000000000004,3.9725000000000006
SBCT,TXOT,2019-05-09,79,319.21000000000004,4.0406329113924055
SBRJ,TXOT,2019-05-09,130,767.4700000000001,5.903615384615386
SBGR,TXOT,2019-05-09,317,1296.7199999999998,4.090599369085173
SBCF,TXOT,2019-05-09,137,462.6899999999999,3.377299270072992
SBSP,TXOT,2019-05-09,261,1228.0400000000009,4.705134099616862
SBBR,TXOT,2019-05-09,166,699.9100000000002,4.2163253012048205
SBGL,TXOT,2019-05-09,102,944.9699999999998,9.26441176470588
SBSV,TXOT,2019-05-09,55,211.74999999999997,3.8499999999999996
SBSP,TXOT,2019-05-10,260,1456.46,5.601769230769231
SBGL,TXOT,2019-05-10,97,1036.13,10.681752577319589
SBRJ,TXOT,2019-05-10,144,851.7000000000003,5.9145833333333355
SBGR,TXOT,2019-05-10,328,1360.77,4.148689024390244
SBBR,TXOT,2019-05-10,171,701.0900000000001,4.099941520467837
SBPA,TXOT,2019-05-10,94,511.3400000000001,5.439787234042554
SBCF,TXOT,2019-05-10,139,603.01,4.3382014388489205
SBKP,TXOT,2019-05-10,158,869.9599999999996,5.506075949367086
SBSV,TXOT,2019-05-10,60,234.30999999999997,3.9051666666666662
SBCT,TXOT,2019-05-10,89,359.46999999999986,4.038988764044942
SBPA,TXOT,2019-05-11,65,253.28000000000006,3.8966153846153855
SBSP,TXOT,2019-05-11,181,559.2200000000001,3.089613259668509
SBRJ,TXOT,2019-05-11,94,698.2600000000001,7.428297872340426
SBKP,TXOT,2019-05-11,131,836.7599999999995,6.387480916030531
SBBR,TXOT,2019-05-11,122,388.22,3.182131147540984
SBGL,TXOT,2019-05-11,101,648.6600000000002,6.422376237623764
SBCF,TXOT,2019-05-11,106,398.91,3.763301886792453
SBGR,TXOT,2019-05-11,293,1022.5399999999995,3.4898976109215
SBCT,TXOT,2019-05-11,61,241.52000000000004,3.9593442622950827
SBSV,TXOT,2019-05-11,53,297.3500000000001,5.610377358490568
SBGL,TXOT,2019-05-12,86,334.83,3.8933720930232556
SBGR,TXOT,2019-05-12,267,993.3800000000001,3.720524344569289
SBKP,TXOT,2019-05-12,133,623.9999999999998,4.691729323308269
SBRJ,TXOT,2019-05-12,90,377.19000000000005,4.191000000000001
SBCF,TXOT,2019-05-12,123,549.3700000000001,4.4664227642276435
SBBR,TXOT,2019-05-12,110,334.88000000000005,3.044363636363637
SBSV,TXOT,2019-05-12,53,221.77000000000004,4.18433962264151
SBCT,TXOT,2019-05-12,67,318.74000000000007,4.757313432835822
SBPA,TXOT,2019-05-12,70,244.65000000000006,3.495000000000001
SBSP,TXOT,2019-05-12,180,946.7900000000002,5.259944444444446
SBGL,TXOT,2019-05-13,102,412.50000000000006,4.044117647058824
SBGR,TXOT,2019-05-13,312,1265.0399999999995,4.054615384615383
SBKP,TXOT,2019-05-13,153,891.7199999999999,5.828235294117646
SBPA,TXOT,2019-05-13,91,338.8000000000001,3.7230769230769245
SBSP,TXOT,2019-05-13,261,1212.4400000000003,4.64536398467433
SBRJ,TXOT,2019-05-13,142,459.76000000000033,3.237746478873242
SBCF,TXOT,2019-05-13,138,574.36,4.162028985507247
SBBR,TXOT,2019-05-13,179,545.4899999999999,3.047430167597765
SBCT,TXOT,2019-05-13,80,392.77,4.909625
SBSV,TXOT,2019-05-13,52,223.37999999999997,4.29576923076923
