TYPE,DESCRIPTION,WTC,EngineCount,EngineType,CLASS
J328,L2J,M,2,Jet,MJ
UL45,L1P,L,1,Piston,LP
TR55,L1P,L,1,Piston,LP
ELSP,L1P,L,1,Piston,LP
CE22,A2P,L,2,Piston,LP
PETR,A1P,L,1,Piston,LP
BMAN,L1P,L,1,Piston,LP
HRNT,L1P,L,1,Piston,LP
WSP,L1P,L,1,Piston,LP
FMGO,L1P,L,1,Piston,LP
A9,L1P,L,1,Piston,LP
JCRU,L1T,L,1,Turboprop/Turboshaft,LT
GAZL,H1T,L,1,Turboprop/Turboshaft,HEL
RF9,L1P,L,1,Piston,LP
XNON,G1P,L,1,Piston,LP
MIDR,L1P,L,1,Piston,LP
JACE,L1P,L,1,Piston,LP
SACE,L1P,L,1,Piston,LP
ARKS,L1P,L,1,Piston,LP
CUB2,L1P,L,1,Piston,LP
ACRO,L1P,L,1,Piston,LP
ACR2,L1P,L,1,Piston,LP
COUG,L1P,L,1,Piston,LP
SORA,L1P,L,1,Piston,LP
J600,L1P,L,1,Piston,LP
T211,L1P,L,1,Piston,LP
LCA,L1J,M,1,Jet,MJ
RA14,L1P,L,1,Piston,LP
RA17,L1P,L,1,Piston,LP
A500,L2P,L,2,Piston,LP
A700,L2J,L,2,Jet,LJ
BUCA,A1P,L,1,Piston,LP
C21T,L2T,L,2,Turboprop/Turboshaft,LT
C10T,L1T,L,1,Turboprop/Turboshaft,LT
ADVN,A1P,L,1,Piston,LP
EX5T,L1T,L,1,Turboprop/Turboshaft,LT
MAVR,L1P,L,1,Piston,LP
AM3,L1P,L,1,Piston,LP
AMX,L1J,M,1,Jet,MJ
G222,L2T,M,2,Turboprop/Turboshaft,MT
TOR,L2J,M,2,Jet,MJ
LA60,L1P,L,1,Piston,LP
F260,L1P,L,1,Piston,LP
L90,L1T,L,1,Turboprop/Turboshaft,LT
M326,L1J,L,1,Jet,LJ
M339,L1J,L,1,Jet,LJ
F26T,L1T,L,1,Turboprop/Turboshaft,LT
M346,L2J,M,2,Jet,MJ
LA6T,L1T,L,1,Turboprop/Turboshaft,LT
AC72,L2P,L,2,Piston,LP
AC50,L2P,L,2,Piston,LP
AC52,L2P,L,2,Piston,LP
AC56,L2P,L,2,Piston,LP
AC68,L2P,L,2,Piston,LP
AE45,L2P,L,2,Piston,LP
