MANUFACTURER,MODEL,TYPE,WTC,RECAT_EU,DESIGNATOR,SOURCE
DOUGLAS,AD Skyraider,A1,M,CAT-F,Landplane,EASA ICAO DOC8643 & RECAT-EU
FAIRCHILD (1),A-10 Thunderbolt 2,A10,M,CAT-E,Landplane,EASA ICAO DOC8643 & RECAT-EU
AEROTEC (1),A-122 Uirapuru,A122,L,CAT-F,Landplane,EASA ICAO DOC8643 & RECAT-EU
ANTONOV,An-124 Ruslan,A124,H,CAT-A,Landplane,EASA ICAO DOC8643 & RECAT-EU
HESA,IRAN-140 Faraz,A140,M,CAT-E,Landplane,EASA ICAO DOC8643 & RECAT-EU
ANTONOV,An-148,A148,M,CAT-E,Landplane,EASA ICAO DOC8643 & RECAT-EU
ANTONOV,An-158,A158,M,TBC,Landplane,EASA ICAO DOC8643 & RECAT-EU
AVIADESIGN,A-16 Sport Falcon,A16,L,CAT-F,Landplane,EASA ICAO DOC8643 & RECAT-EU
ANTONOV,An-178,A178,M,CAT-E,Landplane,EASA ICAO DOC8643 & RECAT-EU
AEROPRACT,A-19,A19,L,CAT-F,Landplane,EASA ICAO DOC8643 & RECAT-EU
AIRBUS,A319NEO,A19N,M,CAT-D,Landplane,EASA ICAO DOC8643 & RECAT-EU
DOUGLAS,A-20 Havoc,A20,M,CAT-F,Landplane,EASA ICAO DOC8643 & RECAT-EU
SCHLEICHER,ASW-20J,A20J,L,CAT-F,Landplane,EASA ICAO DOC8643 & RECAT-EU
AIRBUS,A320NEO,A20N,M,CAT-D,Landplane,EASA ICAO DOC8643 & RECAT-EU
AEROPRACT,A-21 Solo,A21,L,CAT-F,Landplane,EASA ICAO DOC8643 & RECAT-EU
AQUILA,A-210,A210,L,CAT-F,Landplane,EASA ICAO DOC8643 & RECAT-EU
ALFA-M,A-211,A211,L,CAT-F,Landplane,EASA ICAO DOC8643 & RECAT-EU
AIRBUS,A321NEO,A21N,M,CAT-D,Landplane,EASA ICAO DOC8643 & RECAT-EU
SADLER,Piranha,A22,L,CAT-F,Landplane,EASA ICAO DOC8643 & RECAT-EU
OSKBES-MAI,Kityonok,A223,L,CAT-F,Landplane,EASA ICAO DOC8643 & RECAT-EU
ANTONOV,Mriya,A225,H,Special,Landplane,EASA ICAO DOC8643 & RECAT-EU
AEROPRACT,A-23 Dragon,A23,L,CAT-F,Landplane,EASA ICAO DOC8643 & RECAT-EU
AVANTAGE,A-27,A27,L,CAT-F,Landplane,EASA ICAO DOC8643 & RECAT-EU
IBIS (1),Ae-270 Ibis,A270,L,CAT-F,Landplane,EASA ICAO DOC8643 & RECAT-EU
AVANTAGE,A-29,A29,L,CAT-F,Landplane,EASA ICAO DOC8643 & RECAT-EU
DOUGLAS,A-3 Skywarrior,A3,M,CAT-E,Landplane,EASA ICAO DOC8643 & RECAT-EU
AIRBUS,A-300B4-600,A306,H,CAT-C,Landplane,EASA ICAO DOC8643 & RECAT-EU
AIRBUS,A-300B2-1,A30B,H,CAT-C,Landplane,EASA ICAO DOC8643 & RECAT-EU
