DOF,DEP,ARR,TOT
2022-01-01,1477,1482,2959
2022-01-02,2387,2299,4686
2022-01-03,2705,2674,5379
2022-01-04,2585,2599,5184
2022-01-05,2587,2547,5134
2022-01-06,2495,2501,4996
2022-01-07,2440,2441,4881
2022-01-08,2167,2188,4355
2022-01-09,2199,2170,4369
2022-01-10,2464,2477,4941
2022-01-11,2490,2475,4965
2022-01-12,2564,2583,5147
2022-01-13,2615,2605,5220
2022-01-14,2616,2615,5231
2022-01-15,2178,2197,4375
2022-01-16,2111,2110,4221
2022-01-17,2511,2510,5021
2022-01-18,2524,2503,5027
2022-01-19,2555,2569,5124
2022-01-20,2625,2606,5231
2022-01-21,2702,2716,5418
2022-01-22,2320,2327,4647
2022-01-23,2130,2109,4239
2022-01-24,2504,2515,5019
2022-01-25,2666,2639,5305
2022-01-26,2660,2681,5341
2022-01-27,2750,2729,5479
2022-01-28,2679,2694,5373
2022-01-29,2211,2269,4480
2022-01-30,2197,2175,4372
2022-01-31,2589,2581,5170
2022-02-01,2412,2457,4869
2022-02-02,2547,2516,5063
2022-02-03,2558,2551,5109
2022-02-04,2605,2583,5188
2022-02-05,2160,2207,4367
2022-02-06,1973,1951,3924
2022-02-07,2313,2320,4633
2022-02-08,2548,2531,5079
2022-02-09,2621,2589,5210
2022-02-10,2708,2707,5415
2022-02-11,2753,2750,5503
2022-02-12,2182,2241,4423
2022-02-13,2005,1984,3989
2022-02-14,2661,2633,5294
2022-02-15,2678,2686,5364
2022-02-16,2782,2747,5529
2022-02-17,2743,2723,5466
2022-02-18,2745,2781,5526
2022-02-19,2202,2276,4478
2022-02-20,2041,2016,4057
2022-02-21,2667,2628,5295
2022-02-22,2707,2693,5400
2022-02-23,2772,2776,5548
2022-02-24,2923,2909,5832
2022-02-25,3238,3196,6434
2022-02-26,2381,2400,4781
2022-02-27,1511,1519,3030
2022-02-28,1515,1499,3014
2022-03-01,1937,1894,3831
2022-03-02,2674,2700,5374
2022-03-03,2604,2638,5242
2022-03-04,2548,2521,5069
2022-03-05,2339,2380,4719
2022-03-06,2218,2208,4426
2022-03-07,2784,2820,5604
2022-03-08,2841,2864,5705
2022-03-09,2805,2748,5553
2022-03-10,3029,3045,6074
2022-03-11,2987,2942,5929
2022-03-12,2222,2319,4541
2022-03-13,2067,2026,4093
2022-03-14,2615,2629,5244
2022-03-15,2733,2727,5460
2022-03-16,2791,2760,5551
2022-03-17,3000,2991,5991
2022-03-18,3094,3088,6182
2022-03-19,2324,2402,4726
2022-03-20,2101,2074,4175
2022-03-21,2789,2758,5547
2022-03-22,2849,2856,5705
2022-03-23,2890,2891,5781
2022-03-24,2919,2882,5801
2022-03-25,2951,2916,5867
2022-03-26,2355,2391,4746
2022-03-27,2191,2174,4365
2022-03-28,2889,2881,5770
2022-03-29,2995,2983,5978
2022-03-30,2822,2813,5635
2022-03-31,2895,2900,5795
2022-04-01,2926,2938,5864
2022-04-02,2280,2316,4596
2022-04-03,2187,2142,4329
2022-04-04,2813,2833,5646
2022-04-05,3007,2962,5969
2022-04-06,3032,2986,6018
2022-04-07,3120,3084,6204
2022-04-08,3186,3159,6345
2022-04-09,2477,2549,5026
2022-04-10,2308,2316,4624
2022-04-11,2875,2862,5737
2022-04-12,3007,3025,6032
2022-04-13,3091,3079,6170
2022-04-14,3107,3070,6177
2022-04-15,2169,2196,4365
2022-04-16,1739,1729,3468
2022-04-17,2272,2320,4592
2022-04-18,2812,2829,5641
2022-04-19,2799,2778,5577
2022-04-20,3114,3053,6167
2022-04-21,2728,2729,5457
2022-04-22,2203,2173,4376
2022-04-23,1933,2012,3945
2022-04-24,2563,2562,5125
2022-04-25,3079,3092,6171
2022-04-26,3161,3143,6304
2022-04-27,3223,3180,6403
2022-04-28,3189,3188,6377
2022-04-29,3093,3109,6202
2022-04-30,2400,2448,4848
2022-05-01,2368,2342,4710
2022-05-02,2918,2919,5837
2022-05-03,2895,2895,5790
2022-05-04,2808,2782,5590
2022-05-05,3212,3196,6408
2022-05-06,3202,3186,6388
2022-05-07,2324,2419,4743
2022-05-08,2132,2092,4224
2022-05-09,2920,2867,5787
2022-05-10,3039,3029,6068
2022-05-11,2971,2980,5951
2022-05-12,3119,3101,6220
2022-05-13,3214,3183,6397
2022-05-14,2375,2462,4837
2022-05-15,2121,2098,4219
2022-05-16,2927,2949,5876
2022-05-17,2949,2933,5882
2022-05-18,2919,2919,5838
2022-05-19,3042,3005,6047
2022-05-20,3237,3229,6466
2022-05-21,2510,2585,5095
2022-05-22,2315,2250,4565
2022-05-23,2911,2934,5845
2022-05-24,3113,3129,6242
2022-05-25,3080,3084,6164
2022-05-26,3220,3211,6431
2022-05-27,3205,3181,6386
2022-05-28,2467,2535,5002
2022-05-29,2277,2219,4496
2022-05-30,2947,2971,5918
2022-05-31,2912,2895,5807
2022-06-01,3035,3029,6064
2022-06-02,2940,2919,5859
2022-06-03,2976,2964,5940
2022-06-04,2292,2391,4683
2022-06-05,2223,2184,4407
2022-06-06,2935,2925,5860
2022-06-07,2944,2956,5900
2022-06-08,2964,2967,5931
2022-06-09,2999,2960,5959
2022-06-10,3094,3059,6153
2022-06-11,2469,2540,5009
2022-06-12,2304,2267,4571
2022-06-13,3214,3203,6417
2022-06-14,3117,3136,6253
2022-06-15,3477,3415,6892
2022-06-16,2673,2704,5377
2022-06-17,1970,1961,3931
2022-06-18,1895,1953,3848
2022-06-19,2445,2432,4877
