ADES,YEAR,N_VALID,TOT_TRANSIT,TOT_REF100,TOT_ADD_ASMA100,AVG_ASMA
SBBR,2018,36836,883941.1400651892,794270.7863827348,89670.35368245444,2.4343130003924
SBBR,2019,25928,612442.7283658226,559280.3872049164,53162.341160906166,2.050383414104681
SBBR,2021,39028,997163.3,855520.284252437,141643.01574756307,3.6292665713734515
SBCF,2018,24401,578682.1334323366,515464.7452010679,63217.388231268706,2.5907703877410233
SBCF,2019,19084,453017.82223255635,402680.5068388653,50337.31539369105,2.637671106355641
SBCF,2021,25181,599012,529649.7289324378,69362.27106756209,2.7545479157921484
SBCT,2018,15790,380257.3427827358,339445.9141118439,40811.42867089192,2.584637661234447
SBCT,2019,12085,289323.891632994,260073.24409837168,29250.64753462235,2.4204093946729293
SBCT,2021,13642,348806.95,294554.03665058693,54252.91334941307,3.97690319230414
SBFL,2018,8166,200712.6872330944,178298.8215619723,22413.86567112208,2.7447790437328043
SBFL,2019,6499,158053.15164980094,141829.7673822411,16223.38426755985,2.4962893164425064
SBFL,2021,8756,227682.25,196615.18534662088,31067.06465337912,3.548088699563627
SBGL,2018,26173,659744.2096828461,587636.7927071413,72107.41697570485,2.755030641336677
SBGL,2019,18528,467464.3807659785,413737.3529370443,53727.02782893422,2.899774818055603
SBGL,2021,14447,366361.95,321241.1008585707,45120.84914142929,3.1231985285131367
SBGR,2018,70935,1963155.6281642357,1661442.2661311505,301713.362033085,4.253377909820047
SBGR,2019,54071,1515913.449331379,1267232.6263720393,248680.82295933962,4.599153390159968
SBGR,2021,71883,1883617.1833333333,1656670.789840429,226946.39349290455,3.1571636338620332
SBKP,2018,26852,674900.1282989343,591831.4262043572,83068.70209457715,3.0935759755168015
SBKP,2019,22359,570833.3968157172,494055.9545337121,76777.442282005155,3.4338495586567
SBKP,2021,40801,1045941.2333333333,893567.3981064288,152373.83522690454,3.7345612908238657
SBPA,2018,15092,371817.6353160302,339036.03226732655,32781.60304870366,2.1721178802480563
SBPA,2019,10284,257627.67339965503,230921.85717273472,26705.81622692028,2.5968316051069897
SBPA,2021,17698,461459.9166666667,405498.071757226,55961.84490944066,3.162043446120503
SBRF,2018,10784,258239.548199745,235198.60581371465,23040.942386030383,2.136585903749108
SBRF,2019,9851,240732.86979955435,215462.9205071918,25269.949292362555,2.5652166574319923
SBRF,2021,23582,604578.0833333334,524189.35650071374,80388.72683261956,3.408901994428783
SBRJ,2018,23326,578683.6602490227,509469.11532726453,69214.54492175816,2.967270210141394
SBRJ,2019,18700,464060.9365161379,408121.97006090725,55938.96645523071,2.991388580493621
SBRJ,2021,27095,684181.75,599510.0210365208,84671.7289634792,3.124994610204067
SBSP,2018,50899,1405278.2191155911,1222653.9920543975,182624.22706119376,3.5879727904515564
SBSP,2019,39154,1090886.5069321196,939226.4794601767,151660.02747194289,3.873423595850817
SBSP,2021,43554,1196240.9666666666,1058953.0639870025,137287.9026796643,3.152130749866012
SBSV,2018,14072,320840.15501624346,294676.50958626746,26163.645429975975,1.8592698571614537
SBSV,2019,10354,238181.93563309114,217768.61891270956,20413.316720381572,1.9715391848929469
SBSV,2021,20024,494613.7833333333,435926.451882828,58687.33145050525,2.9308495530615883
