"","DATE","DLY_FLTS","MVTS_NORM_ROLLAVG"
"1",2019-01-01,4068,NA
"2",2019-01-02,5783,NA
"3",2019-01-03,5853,NA
"4",2019-01-04,5730,5237.42857142857
"5",2019-01-05,4966,5470
"6",2019-01-06,4783,5481.71428571429
"7",2019-01-07,5479,5485.28571428571
"8",2019-01-08,5696,5501.42857142857
"9",2019-01-09,5865,5508.57142857143
"10",2019-01-10,5878,5506.85714285714
"11",2019-01-11,5843,5535.71428571429
"12",2019-01-12,5016,5578
"13",2019-01-13,4771,5575.85714285714
"14",2019-01-14,5681,5589
"15",2019-01-15,5992,5605.14285714286
"16",2019-01-16,5850,5613.28571428571
"17",2019-01-17,5970,5614.57142857143
"18",2019-01-18,5956,5627
"19",2019-01-19,5073,5640.71428571429
"20",2019-01-20,4780,5667.85714285714
"21",2019-01-21,5768,5701.28571428571
"22",2019-01-22,6088,5691.14285714286
"23",2019-01-23,6040,5692
"24",2019-01-24,6204,5727.28571428571
"25",2019-01-25,5885,5750.42857142857
"26",2019-01-26,5079,5738.42857142857
"27",2019-01-27,5027,5741.28571428571
"28",2019-01-28,5930,5720.14285714286
"29",2019-01-29,6004,5745.57142857143
"30",2019-01-30,6060,5715.14285714286
"31",2019-01-31,6056,5660.85714285714
"32",2019-02-01,6063,5607
"33",2019-02-02,4866,5562.85714285714
"34",2019-02-03,4647,5497.14285714286
"35",2019-02-04,5553,5471.42857142857
"36",2019-02-05,5695,5441
"37",2019-02-06,5600,5429.57142857143
"38",2019-02-07,5876,5393
"39",2019-02-08,5850,5419.71428571429
"40",2019-02-09,4786,5424.85714285714
"41",2019-02-10,4391,5432.85714285714
"42",2019-02-11,5740,5449.14285714286
"43",2019-02-12,5731,5410.14285714286
"44",2019-02-13,5656,5368.85714285714
"45",2019-02-14,5990,5308.57142857143
"46",2019-02-15,5577,5300.42857142857
"47",2019-02-16,4497,5320
"48",2019-02-17,3969,5341.57142857143
"49",2019-02-18,5683,5344.85714285714
"50",2019-02-19,5868,5389.14285714286
"51",2019-02-20,5807,5444.71428571429
"52",2019-02-21,6013,5495.71428571429
"53",2019-02-22,5887,5473.28571428571
"54",2019-02-23,4886,5432.85714285714
"55",2019-02-24,4326,5454.57142857143
"56",2019-02-25,5526,5437.42857142857
"57",2019-02-26,5585,5471.14285714286
"58",2019-02-27,5959,5532
"59",2019-02-28,5893,5396.85714285714
"60",2019-03-01,6123,5092.71428571429
"61",2019-03-02,5312,4862.85714285714
"62",2019-03-03,3380,4828.42857142857
"63",2019-03-04,3397,4808.14285714286
"64",2019-03-05,3976,4726.42857142857
"65",2019-03-06,5718,4645.14285714286
"66",2019-03-07,5751,4807.42857142857
"67",2019-03-08,5551,5132.57142857143
"68",2019-03-09,4743,5387
"69",2019-03-10,4516,5413.57142857143
"70",2019-03-11,5673,5445.14285714286
"71",2019-03-12,5757,5505.71428571429
"72",2019-03-13,5904,5513.85714285714
"73",2019-03-14,5972,5465.71428571429
"74",2019-03-15,5975,5463.42857142857
"75",2019-03-16,4800,5468.57142857143
"76",2019-03-17,4179,5457.71428571429
"77",2019-03-18,5657,5425
"78",2019-03-19,5793,5411.85714285714
"79",2019-03-20,5828,5427.14285714286
"80",2019-03-21,5743,5457.57142857143
"81",2019-03-22,5883,5473
"82",2019-03-23,4907,5495.42857142857
"83",2019-03-24,4392,5510.42857142857
"84",2019-03-25,5765,5537.28571428571
"85",2019-03-26,5950,5555.42857142857
"86",2019-03-27,5933,5557.71428571429
"87",2019-03-28,5931,5537
