"","DATE","DLY_FLTS","MVTS_NORM_ROLLAVG"
"1",2019-01-01,3801,NA
"2",2019-01-02,5346,NA
"3",2019-01-03,5514,NA
"4",2019-01-04,5389,4925.85714285714
"5",2019-01-05,4772,5146.85714285714
"6",2019-01-06,4550,5166.28571428571
"7",2019-01-07,5109,5160.85714285714
"8",2019-01-08,5348,5157.71428571429
"9",2019-01-09,5482,5154.28571428571
"10",2019-01-10,5476,5147
"11",2019-01-11,5367,5178.14285714286
"12",2019-01-12,4748,5220.71428571429
"13",2019-01-13,4499,5221.28571428571
"14",2019-01-14,5327,5238
"15",2019-01-15,5646,5258.42857142857
"16",2019-01-16,5486,5263.28571428571
"17",2019-01-17,5593,5262
"18",2019-01-18,5510,5272.85714285714
"19",2019-01-19,4782,5273.14285714286
"20",2019-01-20,4490,5285.28571428571
"21",2019-01-21,5403,5299.14285714286
"22",2019-01-22,5648,5293.71428571429
"23",2019-01-23,5571,5288.42857142857
"24",2019-01-24,5690,5318.14285714286
"25",2019-01-25,5472,5340.57142857143
"26",2019-01-26,4745,5335
"27",2019-01-27,4698,5346.85714285714
"28",2019-01-28,5560,5332.28571428571
"29",2019-01-29,5609,5344
"30",2019-01-30,5654,5316.42857142857
"31",2019-01-31,5588,5276
"32",2019-02-01,5554,5235.57142857143
"33",2019-02-02,4552,5189.28571428571
"34",2019-02-03,4415,5132.14285714286
"35",2019-02-04,5277,5113.14285714286
"36",2019-02-05,5285,5089.57142857143
"37",2019-02-06,5254,5084.71428571429
"38",2019-02-07,5455,5044.14285714286
"39",2019-02-08,5389,5057.14285714286
"40",2019-02-09,4518,5066.42857142857
"41",2019-02-10,4131,5078.28571428571
"42",2019-02-11,5368,5098.42857142857
"43",2019-02-12,5350,5078.14285714286
"44",2019-02-13,5337,5052.71428571429
"45",2019-02-14,5596,5003
"46",2019-02-15,5247,4994.28571428571
"47",2019-02-16,4340,5010.85714285714
"48",2019-02-17,3783,5021.42857142857
"49",2019-02-18,5307,5025.71428571429
"50",2019-02-19,5466,5055.14285714286
"51",2019-02-20,5411,5088
"52",2019-02-21,5626,5128.28571428571
"53",2019-02-22,5453,5105.85714285714
"54",2019-02-23,4570,5076.57142857143
"55",2019-02-24,4065,5094.28571428571
"56",2019-02-25,5150,5073.85714285714
"57",2019-02-26,5261,5103
"58",2019-02-27,5535,5146.57142857143
"59",2019-02-28,5483,5012.85714285714
"60",2019-03-01,5657,4731.42857142857
"61",2019-03-02,4875,4515.85714285714
"62",2019-03-03,3129,4479.42857142857
"63",2019-03-04,3180,4449.28571428571
"64",2019-03-05,3752,4370.71428571429
"65",2019-03-06,5280,4310.85714285714
"66",2019-03-07,5272,4472.71428571429
"67",2019-03-08,5107,4781.85714285714
"68",2019-03-09,4456,5010
"69",2019-03-10,4262,5033.28571428571
"70",2019-03-11,5344,5066
"71",2019-03-12,5349,5136.85714285714
"72",2019-03-13,5443,5148.14285714286
"73",2019-03-14,5501,5109.14285714286
"74",2019-03-15,5603,5097.14285714286
"75",2019-03-16,4535,5103.14285714286
"76",2019-03-17,3989,5096.57142857143
"77",2019-03-18,5260,5090.28571428571
"78",2019-03-19,5391,5079
"79",2019-03-20,5397,5092.42857142857
"80",2019-03-21,5457,5119
"81",2019-03-22,5524,5141.42857142857
"82",2019-03-23,4629,5152.85714285714
"83",2019-03-24,4175,5158
"84",2019-03-25,5417,5163.57142857143
"85",2019-03-26,5471,5168.85714285714
"86",2019-03-27,5433,5167.71428571429
"87",2019-03-28,5496,5146.71428571429
"88",2019-03-29,5561,5122.85714285714
"89",2019-03-30,4621,5105.71428571429
"90",2019-03-31,4028,5101.42857142857
"91",2019-04-01,5250,5103
"92",2019-04-02,5351,5074
"93",2019-04-03,5403,5019.57142857143
"94",2019-04-04,5507,4984.42857142857
"95",2019-04-05,5358,4959.85714285714
"96",2019-04-06,4240,4924.42857142857
